date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2015-12-30,2.9755893,3.0052858,2.9340142,2.9755893,2.9874679,20811351,104179053.0,2,0.767947,1,-0.3976,0,2.97262
2015-12-31,2.9637107,2.9993465,2.8746212,2.8864998,2.9755893,27468162,135607084.0,2,1.013585,1,-2.994,0,2.93104
2016-01-04,2.8746212,2.8924391,2.6192313,2.6311099,2.8864998,24167966,114028505.0,2,0.891807,1,-8.8477,0,2.75435
2016-01-05,2.5598383,2.7083208,2.5360811,2.6786243,2.6311099,30373704,133920518.0,2,1.120801,1,1.8059,0,2.62072
2016-01-06,2.672685,2.9458928,2.6548671,2.9458928,2.6786243,79434505,390042864.0,2,2.931163,1,9.9778,0,2.80483
2016-01-07,2.96965,3.0468609,2.7380173,2.791471,2.9458928,40807213,203626852.0,2,1.505801,1,-5.2419,0,2.8865
2016-01-08,2.9043177,3.0706181,2.8568033,3.0706181,2.791471,86429983,438231632.0,2,3.189298,1,10.0,0,2.97559
2016-01-11,3.0765574,3.147829,2.791471,2.8805605,3.0706181,105598654,531893104.0,2,3.896629,1,-6.1896,0,2.9741
2016-01-12,2.791471,2.850864,2.672685,2.7736531,2.8805605,58485271,271798928.0,2,2.158128,1,-3.7113,0,2.77217
2016-01-13,2.7736531,2.9161963,2.6608064,2.6905029,2.7736531,55563840,264646571.0,2,2.050326,1,-2.9979,0,2.76029
2016-01-14,2.5182632,2.850864,2.4232344,2.7795924,2.6905029,50054381,221624053.0,2,1.847025,1,3.3112,0,2.64299
2016-01-15,2.7201994,2.7380173,2.5004453,2.5242025,2.7795924,42807804,187343218.0,2,1.579624,1,-9.188,0,2.62072
2016-01-18,2.4529309,2.5301418,2.4054165,2.494506,2.5242025,32933905,137240460.0,2,1.215273,1,-1.1765,0,2.47075
2016-01-19,2.494506,2.5954741,2.4648095,2.553899,2.494506,30967082,132656896.0,2,1.142697,1,2.381,0,2.52717
2016-01-20,2.5242025,2.5657776,2.4707488,2.5123239,2.553899,28026561,118745887.0,2,1.03419,1,-1.6279,0,2.51826
2016-01-21,2.4766881,2.6014134,2.4707488,2.4826274,2.5123239,32997379,141520570.0,2,1.217615,1,-1.182,0,2.50787
2016-01-22,2.5420204,2.6608064,2.5123239,2.5835955,2.4826274,29894904,129774001.0,2,1.103133,1,4.067,0,2.57469
2016-01-25,2.6251706,2.7498959,2.5657776,2.7142601,2.5835955,55632225,250731546.0,2,2.05285,1,5.0575,0,2.66378
2016-01-26,2.6370492,2.672685,2.4410523,2.4529309,2.7142601,29021407,124745271.0,2,1.070901,1,-9.628,0,2.55093
2016-01-27,2.4648095,2.553899,2.37572,2.4588702,2.4529309,45525478,188100920.0,2,1.679907,1,0.2421,0,2.46332
2016-01-28,2.4232344,2.4588702,2.256934,2.2806912,2.4588702,26523651,105816367.0,2,0.978733,1,-7.2464,0,2.35493
2016-01-29,2.2806912,2.3697807,2.197541,2.3460235,2.2806912,34321171,132644269.0,2,1.266464,1,2.8646,0,2.29851
2016-02-01,2.3222663,2.3282056,2.138148,2.2094196,2.3460235,25992415,97740401.0,2,0.95913,1,-5.8228,0,2.24951
2016-02-02,2.2034803,2.4113558,2.1916017,2.3697807,2.2094196,44591190,174243583.0,2,1.645431,1,7.2581,0,2.29405
2016-02-03,2.3222663,2.4054165,2.2509947,2.3697807,2.3697807,24362234,95159494.0,2,0.898975,1,0.0,0,2.33711
2016-02-04,2.3816593,2.3994772,2.3579021,2.37572,2.3697807,15686889,62804305.0,2,0.578852,1,0.2506,0,2.37869
2016-02-05,2.3638414,2.37572,2.3282056,2.3579021,2.37572,13028739,51717423.0,2,0.480765,1,-0.75,0,2.35642
2016-02-15,2.2985091,2.3994772,2.2747519,2.3579021,2.3579021,9330919,36573731.0,2,0.344314,1,0.0,0,2.33266
2016-02-16,2.3579021,2.4410523,2.3579021,2.4232344,2.3579021,26756688,108323932.0,2,0.987332,1,2.7708,0,2.39502
2016-02-17,2.3994772,2.5063846,2.3697807,2.435113,2.4232344,24444650,99717483.0,2,0.902017,1,0.4902,0,2.42769
2016-02-18,2.4469916,2.5182632,2.4113558,2.435113,2.435113,26401113,109638089.0,2,0.974211,1,0.0,0,2.45293
2016-02-19,2.4054165,2.4648095,2.3994772,2.435113,2.435113,15100500,61719354.0,2,0.557214,1,0.0,0,2.4262
2016-02-22,2.4469916,2.6192313,2.4410523,2.5063846,2.435113,45055293,191670720.0,2,1.662557,1,2.9268,0,2.50341
2016-02-23,2.494506,2.6964422,2.4707488,2.6786243,2.5063846,52047865,224448821.0,2,1.920585,1,6.872,0,2.58508
2016-02-24,2.5835955,2.6548671,2.5420204,2.6073527,2.6786243,37080406,162147817.0,2,1.368281,1,-2.6608,0,2.59696
2016-02-25,2.6014134,2.6251706,2.3697807,2.3994772,2.6073527,33197434,140927840.0,2,1.224998,1,-7.9727,0,2.49896
2016-02-26,2.4172951,2.6073527,2.37572,2.5657776,2.3994772,44335388,185898504.0,2,1.635992,1,6.9307,0,2.49154
2016-02-29,2.5242025,2.6489278,2.37572,2.5895348,2.5657776,45864399,195829039.0,2,1.692413,1,0.9259,0,2.5346
2016-03-01,2.5835955,2.850864,2.5123239,2.7498959,2.5895348,94132613,438837024.0,2,3.473528,1,6.1927,0,2.67417
2016-03-02,2.6667457,2.9458928,2.6489278,2.910257,2.7498959,93583306,440578768.0,2,3.453259,1,5.8315,0,2.79296
2016-03-03,2.8568033,2.9993465,2.8271068,2.8864998,2.910257,64847757,318308880.0,2,2.392906,1,-0.8163,0,2.89244
2016-03-04,2.8627426,3.0587395,2.732078,2.9755893,2.8864998,97800456,483972464.0,2,3.608873,1,3.0864,0,2.90729
2016-03-07,3.0349823,3.0765574,2.9280749,3.0171644,2.9755893,75570313,380300672.0,2,2.788572,1,1.3972,0,3.01419
2016-03-08,3.0765574,3.088436,2.850864,2.9221356,3.0171644,55140398,272446784.0,2,2.034701,1,-3.1496,0,2.9845
2016-03-09,2.7736531,2.8627426,2.7083208,2.7380173,2.9221356,36162125,168977540.0,2,1.334396,1,-6.3008,0,2.77068
2016-03-10,2.7617745,2.7677138,2.6489278,2.6608064,2.7380173,26558126,120422028.0,2,0.980005,1,-2.82,0,2.70981
2016-03-11,2.6429885,2.672685,2.5776562,2.6073527,2.6608064,26507580,116846725.0,2,0.978139,1,-2.0089,0,2.62517
2016-03-14,2.6311099,2.7201994,2.6073527,2.6667457,2.6073527,37791030,169996940.0,2,1.394503,1,2.2779,0,2.65635
2016-03-15,2.6073527,2.613292,2.4885667,2.5242025,2.6667457,36512162,157093143.0,2,1.347312,1,-5.3452,0,2.55835
2016-03-16,2.5360811,2.5598383,2.435113,2.4826274,2.5242025,22091441,92950254.0,2,0.815182,1,-1.6471,0,2.50341
2016-03-17,2.5182632,2.5835955,2.5004453,2.5420204,2.4826274,24894789,106543430.0,2,0.918627,1,2.3924,0,2.53608
2016-03-18,2.553899,2.6608064,2.5479597,2.613292,2.5420204,34665288,152129795.0,2,1.279162,1,2.8037,0,2.59399
2016-03-21,2.6311099,2.7201994,2.613292,2.7083208,2.613292,35936222,160912229.0,2,1.32606,1,3.6364,0,2.66823
2016-03-22,2.6905029,2.6964422,2.6311099,2.6429885,2.7083208,28879894,129383347.0,2,1.065679,1,-2.4123,0,2.66526
