date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,20.0838463000,20.1181044600,19.4243767200,19.8183455600,19.9639427400,35115210,809666560.0000,2,1.027361,1,-0.729300,0
2015-12-31,19.7755228600,20.0410236000,19.5956675200,19.6470547600,19.8183455600,27098042,628561712.0000,2,0.792804,1,-0.864300,0
2016-01-04,19.4586348800,19.7498292400,17.6857751000,17.6943396400,19.6470547600,37253611,817194096.0000,2,1.089924,1,-9.939000,0
2016-01-05,16.9406601200,18.1568248000,16.7008530000,17.8827595200,17.6943396400,62523231,1278427136.0000,2,1.829234,1,1.064900,0
2016-01-06,17.8570659000,18.2767283600,17.3089353400,18.1225666400,17.8827595200,38659424,806355552.0000,2,1.131054,1,1.341000,0
2016-01-07,17.5573070000,17.7200332600,16.3068841600,16.3240132400,18.1225666400,13276331,260997553.0000,2,0.388424,1,-9.924400,0
2016-01-08,16.7522402400,17.5658715400,15.6731082000,16.6922884600,16.3240132400,58428945,1141507424.0000,2,1.709448,1,2.256000,0
2016-01-11,16.1441579000,16.4010941000,15.0222031600,15.0222031600,16.6922884600,49832672,913742752.0000,2,1.457948,1,-10.005100,0
2016-01-12,15.2448812000,15.7501890600,15.0735904000,15.2534457400,15.0222031600,40511944,726837728.0000,2,1.185253,1,1.539300,0
2016-01-13,15.3562202200,15.6731082000,15.0307677000,15.0992840200,15.2534457400,41504104,746224672.0000,2,1.214280,1,-1.010700,0
2016-01-14,14.5597180000,15.5874628000,14.3884272000,15.5446401000,15.0992840200,44300887,786426496.0000,2,1.296106,1,2.949500,0
2016-01-15,15.3390911400,15.4932528600,14.5597180000,14.7481378800,15.5446401000,41962691,735788688.0000,2,1.227697,1,-5.124000,0
2016-01-18,14.3884272000,15.0907194800,14.3199108800,14.7567024200,14.7481378800,35065654,604921328.0000,2,1.025911,1,0.058100,0
2016-01-19,14.7310088000,15.5617691800,14.6539279400,15.3733493000,14.7567024200,46399977,822609040.0000,2,1.357518,1,4.178800,0
2016-01-20,15.4846883200,16.3325777800,15.3733493000,15.7587536000,15.3733493000,69200047,1273077456.0000,2,2.024577,1,2.507000,0
2016-01-21,15.4333010800,16.1098997400,14.9622513800,15.0393322400,15.7587536000,53395191,976042160.0000,2,1.562176,1,-4.565200,0
2016-01-22,15.3048329800,15.7073663600,14.9879450000,15.4932528600,15.0393322400,39613516,710023648.0000,2,1.158968,1,3.018200,0
2016-01-25,15.6474145800,15.7587536000,15.3647847600,15.5360755600,15.4932528600,28888194,524563392.0000,2,0.845178,1,0.276400,0
2016-01-26,15.3219620600,15.3990429200,13.9858938200,13.9858938200,15.5360755600,52228652,890922640.0000,2,1.528047,1,-9.977900,0
2016-01-27,13.9858938200,14.1314910000,12.9581490200,13.5491022800,13.9858938200,52525827,828287472.0000,2,1.536742,1,-3.123100,0
2016-01-28,13.2836015400,13.9602002000,12.9324554000,13.0437944200,13.5491022800,42648665,672034880.0000,2,1.247767,1,-3.729500,0
2016-01-29,13.0437944200,14.3027818000,13.0352298800,13.9687647400,13.0437944200,63053154,1019150384.0000,2,1.844738,1,7.091300,0
2016-02-01,13.8745548000,14.1314910000,13.7203930800,14.0801037600,13.9687647400,44853154,729886560.0000,2,1.312263,1,0.797100,0
2016-02-02,14.1828782400,14.6453634000,14.0372810600,14.4740726000,14.0801037600,37308717,626951216.0000,2,1.091536,1,2.798000,0
2016-02-03,14.1314910000,14.4055562800,13.9602002000,14.3199108800,14.4740726000,25648957,424550544.0000,2,0.750408,1,-1.065100,0
2016-02-04,14.3884272000,14.6881861000,14.3541690400,14.4398144400,14.3199108800,29736812,503968880.0000,2,0.870006,1,0.837300,0
2016-02-05,14.0886683000,14.2171364000,13.7289576200,13.7632157800,14.4398144400,38276579,622735872.0000,2,1.119853,1,-4.685700,0
2016-02-15,13.1893916000,13.5405377400,13.0694880400,13.4463278000,13.7632157800,24878256,386904416.0000,2,0.727860,1,-2.302400,0
2016-02-16,13.5747959000,14.2171364000,13.5747959000,14.1314910000,13.4463278000,38180646,624748272.0000,2,1.117046,1,5.095500,0
2016-02-17,14.0629746800,14.2770881800,13.9687647400,14.2171364000,14.1314910000,31709071,523903696.0000,2,0.927708,1,0.606100,0
2016-02-18,14.4740726000,14.7310088000,14.1743137000,14.2257009400,14.2171364000,47026516,795770016.0000,2,1.375849,1,0.060200,0
2016-02-19,14.1571846200,14.3798626600,13.9773292800,14.2513945600,14.2257009400,26762288,443225568.0000,2,0.782981,1,0.180600,0
2016-02-22,14.5168953000,15.1506712600,14.4569435200,14.9022996000,14.2513945600,57485280,993129904.0000,2,1.681840,1,4.567300,0
2016-02-23,14.8851705200,14.8851705200,14.4398144400,14.5854116200,14.9022996000,30871694,527435792.0000,2,0.903209,1,-2.126400,0
2016-02-24,14.5168953000,15.0393322400,14.3456045000,14.9879450000,14.5854116200,35359652,606447984.0000,2,1.034513,1,2.759800,0
2016-02-25,14.9194286800,14.9194286800,13.4891505000,13.5405377400,14.9879450000,50324873,827575168.0000,2,1.472349,1,-9.657100,0
2016-02-26,13.7203930800,13.8659902600,13.3007306200,13.6261831400,13.5405377400,32238157,513449808.0000,2,0.943188,1,0.632500,0
2016-02-29,13.4291987200,13.5148441200,12.4014539200,12.8211163800,13.6261831400,53791290,801210176.0000,2,1.573765,1,-5.908200,0
2016-03-01,12.9153263200,13.6604413000,12.5641801800,13.2750370000,12.8211163800,52536037,799574368.0000,2,1.537040,1,3.540400,0
2016-03-02,13.2407788400,14.4483789800,13.1893916000,14.3027818000,13.2750370000,70184117,1129282496.0000,2,2.053368,1,7.741900,0
2016-03-03,14.1400555400,14.4740726000,14.0544101400,14.1486200800,14.3027818000,49400245,822292512.0000,2,1.445297,1,-1.077800,0
