date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2015-12-30,34.702272,35.55405504,34.52087376,34.74959328,34.97042592,4500489,199309259.0,2,7.500815,1,-0.6315,0,34.8817
2015-12-31,34.68649824,35.0571816,33.7558464,33.86626272,34.74959328,3445129,150361668.0,2,5.741882,1,-2.542,0,34.34145
2016-01-04,33.89781024,33.9924528,30.60898128,30.62475504,33.86626272,3858873,157016391.0,2,6.431455,1,-9.5715,0,32.281
2016-01-05,29.63100816,31.76835264,29.181456,31.53174624,30.62475504,6500328,253511078.0,2,10.83388,1,2.9616,0,30.52814
2016-01-06,31.63427568,32.32043424,31.0743072,31.9024296,31.53174624,4975042,200026140.0,2,8.291737,1,1.1756,0,31.73286
2016-01-07,31.54752,31.54752,28.72401696,28.83443328,31.9024296,1297570,49087218.0,2,2.162617,1,-9.6168,0,30.16337
2016-01-08,30.25407168,30.2856192,27.65140128,29.51270496,28.83443328,5073021,190311265.0,2,8.455035,1,2.3523,0,29.42595
2016-01-11,28.48741056,29.51270496,26.82327888,27.209736,29.51270496,4314102,154780880.0,2,7.19017,1,-7.8033,0,28.00828
2016-01-12,27.4463424,27.97476336,26.815392,27.51732432,27.209736,3710918,129723708.0,2,6.184863,1,1.1304,0,27.43846
2016-01-13,27.98265024,28.29812544,26.8548264,26.9731296,27.51732432,3278966,115232450.0,2,5.464943,1,-1.9776,0,27.52718
2016-01-14,26.026704,28.2350304,25.9478352,28.08517968,26.9731296,3597312,124576628.0,2,5.99552,1,4.1228,0,27.07369
2016-01-15,27.61985376,28.16404848,26.64188064,26.96524272,28.08517968,3277826,113755338.0,2,5.463043,1,-3.9876,0,27.34776
2016-01-18,26.6576544,27.7618176,26.3027448,27.209736,26.96524272,3105354,106972606.0,2,5.17559,1,0.9067,0,26.98299
2016-01-19,27.23339664,28.6293744,27.209736,28.48741056,27.209736,4519816,160970023.0,2,7.533027,1,4.6956,0,27.88998
2016-01-20,28.1561616,28.47952368,27.74604384,27.9589896,28.48741056,3663462,130463873.0,2,6.10577,1,-1.8549,0,28.08518
2016-01-21,27.29649168,28.29023856,26.5393512,26.6576544,27.9589896,3172509,110343981.0,2,5.287515,1,-4.6544,0,27.19593
2016-01-22,26.98101648,27.3674736,26.4999168,27.17818848,26.6576544,2645608,90708493.0,2,4.409347,1,1.9527,0,27.00665
