date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-07-22,58.1899191000,59.3517482800,29.5380300000,49.4269702000,19.6920200000,41500370,1895110931.0000,2,80.476191,1,151.000000,0
2019-07-23,39.5415761600,46.7685475000,39.3938860100,43.2141378900,49.4269702000,16246441,721188128.0000,2,31.504579,1,-12.569720,0
2019-07-24,43.2239839000,46.2467089700,43.2239839000,46.0005587200,43.2141378900,15037043,688141059.0000,2,29.159353,1,6.447943,0
2019-07-25,47.2608480000,50.5297233200,46.8866996200,48.3143710700,46.0005587200,19287488,951617782.0000,2,37.401680,1,5.029962,0
2019-07-26,47.4577682000,47.4577682000,44.3562750500,44.5335032300,48.3143710700,12340658,574374970.0000,2,23.930600,1,-7.825600,0
2019-07-29,45.2621079700,49.4269702000,45.0750337800,49.4269702000,44.5335032300,15455151,746167792.0000,2,29.970135,1,10.988290,0
2019-07-30,49.9192707000,50.9531017500,47.9106846600,49.6337364100,49.4269702000,17942122,906197383.0000,2,34.792800,1,0.418300,0
2019-07-31,50.0177308000,52.0657008800,49.0528218200,51.1303299300,49.6337364100,15872475,818352969.0000,2,30.779400,1,3.015300,0
2019-08-01,51.6915525000,56.8114777000,51.2287900300,56.7130176000,51.1303299300,22384236,1232565026.0000,2,43.406800,1,10.918500,0
2019-08-02,61.0452620000,68.0556211200,59.9425088800,68.0556211200,56.7130176000,29420620,1954908774.0000,2,57.051500,1,20.000000,0
2019-08-05,71.8758730000,74.0912252500,66.4605675000,71.0389621500,68.0556211200,27739479,1998096563.0000,2,53.791500,1,4.383700,0
2019-08-06,66.9528680000,73.4118505600,58.8496017700,62.0101709800,71.0389621500,28111063,1963118235.0000,2,54.512100,1,-12.709600,0
2019-08-07,63.9990650000,64.9836660000,59.8637408000,64.4913655000,62.0101709800,16748959,1066546176.0000,2,32.479000,1,4.001300,0
2019-08-08,64.9836660000,69.4143705000,62.2070911800,62.5221635000,64.4913655000,18205137,1227321315.0000,2,35.302800,1,-3.053400,0
2019-08-09,62.7880057700,63.0144640000,57.9733068800,58.5936055100,62.5221635000,14516814,886536100.0000,2,28.150500,1,-6.283500,0
2019-08-12,58.5837595000,59.0957520200,53.1487619800,55.6299565000,58.5936055100,12398359,706486280.0000,2,24.042500,1,-5.058000,0
2019-08-13,55.1376560000,57.5991585000,54.4484353000,57.5597744600,55.6299565000,11565889,659305106.0000,2,22.428200,1,3.469000,0
2019-08-14,58.9579078800,59.2532881800,57.1167040100,57.6877725900,57.5597744600,10698291,634134651.0000,2,20.745800,1,0.222400,0
2019-08-15,55.5314964000,58.6920656100,55.1573480200,58.1603810700,57.6877725900,8695849,505322795.0000,2,16.862700,1,0.819300,0
2019-08-16,58.6625275800,59.2926722200,57.1659340600,57.9339228400,58.1603810700,9320979,553447439.0000,2,18.074900,1,-0.389400,0
2019-08-19,58.0323829400,59.2040581300,56.1321030100,58.7806797000,57.9339228400,10011671,586982921.0000,2,19.414300,1,1.461600,0
2019-08-20,58.3179172300,58.7412956600,56.8607077500,56.8803997700,58.7806797000,7203429,422862281.0000,2,13.968700,1,-3.232800,0
2019-08-21,56.4767133600,56.6637875500,51.1992520000,51.4650942700,56.8803997700,12240644,663997395.0000,2,23.736700,1,-9.520500,0
2019-08-22,51.4650942700,52.3413891600,49.5746603500,50.3623411500,51.4650942700,6606231,341418756.0000,2,12.810600,1,-2.142700,0
2019-08-23,50.6380294300,51.0810998800,44.8584215600,47.0245437600,50.3623411500,10476325,512978690.0000,2,20.315400,1,-6.627600,0
2019-08-26,46.4239371500,48.2454490000,46.4239371500,47.7137644600,47.0245437600,5737876,276448607.0000,2,11.126700,1,1.465700,0
2019-08-27,48.0189907700,48.4817532400,46.6700874000,48.1962189500,47.7137644600,5319330,257608737.0000,2,10.315100,1,1.011100,0
2019-08-28,47.9303766800,48.8362096000,46.6405493700,46.7193174500,48.1962189500,5837428,282859791.0000,2,11.319800,1,-3.064400,0
2019-08-29,46.3845531100,47.8122245600,44.5827332800,47.3691541100,46.7193174500,7592065,355613821.0000,2,14.722300,1,1.390900,0
2019-08-30,47.5759203200,48.9346697000,46.9162376500,47.9402226900,47.3691541100,7600253,370959918.0000,2,14.738200,1,1.205600,0
2019-09-02,48.7869795500,49.1118978800,47.7531485000,48.6688274300,47.9402226900,5466231,269815233.0000,2,10.599900,1,1.519800,0
2019-09-03,48.4522152100,53.7789066200,47.9500687000,52.5580013800,48.6688274300,11166886,583945313.0000,2,21.654500,1,7.991100,0
2019-09-04,52.4792333000,54.3499752000,50.9137177100,51.3174041200,52.5580013800,8590130,459446279.0000,2,16.657700,1,-2.360400,0
2019-09-05,52.2330830500,53.3653742000,51.5734003800,52.7155375400,51.3174041200,7811049,417481350.0000,2,15.146900,1,2.724500,0
2019-09-06,52.0853929000,52.9518417800,49.7518885300,49.9094246900,52.7155375400,7172819,373271123.0000,2,13.909300,1,-5.323100,0
2019-09-09,50.6478754400,50.9531017500,49.5549683300,50.4312632200,49.9094246900,4694309,239368054.0000,2,9.103100,1,1.045600,0
2019-09-10,50.4214172100,52.0853929000,50.3131111000,51.0909458900,50.4312632200,5291779,275350066.0000,2,10.261600,1,1.308100,0
2019-09-11,50.7069515000,51.8589346700,50.2244970100,51.4454022500,51.0909458900,4934111,256880946.0000,2,9.568100,1,0.693800,0
2019-09-12,51.3961722000,51.5734003800,48.5999053600,49.2398960100,51.4454022500,6389002,321539533.0000,2,12.389300,1,-4.287100,0
2019-09-16,49.2792800500,49.7715805500,48.6885194500,49.1118978800,49.2398960100,3001088,149711132.0000,2,5.819600,1,-0.259900,0
2019-09-17,48.7574415200,49.2989720700,47.2706940100,47.3494620900,49.1118978800,3152363,154215194.0000,2,6.113000,1,-3.588600,0
2019-09-18,48.0091447600,48.0091447600,45.5870263000,46.3057850300,47.3494620900,3783218,177913793.0000,2,7.336300,1,-2.204200,0
2019-09-19,46.2270169500,48.2060649600,45.8824066000,47.1230038600,46.3057850300,3802561,182677349.0000,2,7.373800,1,1.764800,0
2019-09-20,46.8768536100,47.5463822900,46.5617812900,47.1722339100,47.1230038600,2334833,111623548.0000,2,4.527600,1,0.104500,0
2019-09-23,46.9556216900,47.2510019900,46.1580948800,46.4436291700,47.1722339100,2519499,119139507.0000,2,4.885700,1,-1.544600,0
2019-09-24,46.4436291700,48.4817532400,46.2762470000,48.3242170800,46.4436291700,5593885,272245401.0000,2,10.847500,1,4.049200,0
2019-09-25,48.5703673300,49.0331298000,46.2860930100,46.6208573500,48.3242170800,3761083,181951150.0000,2,7.293400,1,-3.524900,0
2019-09-26,46.6700874000,47.2411559800,42.3378430000,42.4461491100,46.6208573500,5066995,226331720.0000,2,9.825800,1,-8.954600,0
2019-09-27,42.4461491100,43.8147445000,41.9833866400,42.8301435000,42.4461491100,2732893,119168060.0000,2,5.299500,1,0.904700,0
2019-09-30,42.6529153200,42.6529153200,39.8763405000,40.0437226700,42.8301435000,3491821,144439557.0000,2,6.771200,1,-6.505800,0
2019-10-08,39.6301902500,40.1520287800,37.6609882500,37.9268305200,40.0437226700,2970772,116895616.0000,2,5.760800,1,-5.286400,0
2019-10-09,38.2025188000,39.7778804000,37.7496023400,39.2363498500,37.9268305200,2681431,106302613.0000,2,5.199700,1,3.452700,0
2019-10-10,39.5612681800,39.7089583300,38.7834333900,39.4135780300,39.2363498500,2375667,95022487.0000,2,4.606800,1,0.451700,0
2019-10-11,39.3938860100,39.6006522200,38.7735873800,38.7932794000,39.4135780300,1861096,73727359.0000,2,3.609000,1,-1.573800,0
2019-10-14,38.9803535900,40.0141846400,38.5963592000,39.7680343900,38.7932794000,2425319,97152006.0000,2,4.703100,1,2.512700,0
2019-10-15,39.4628080800,40.0240306500,38.7440493500,38.8917395000,39.7680343900,1717041,68417440.0000,2,3.329600,1,-2.203500,0
2019-10-16,38.9015855100,39.2265038400,37.3262239100,37.3656079500,38.8917395000,2536318,98028358.0000,2,4.918300,1,-3.924000,0
2019-10-17,37.1293037100,38.4782070800,37.1293037100,37.5920661800,37.3656079500,2595741,99946889.0000,2,5.033600,1,0.606100,0
2019-10-18,37.8185244100,39.6597282800,37.6609882500,38.6062052100,37.5920661800,3708327,146485608.0000,2,7.191100,1,2.697700,0
2019-10-21,38.2320568300,38.3502089500,36.1840867500,36.9619215400,38.6062052100,2794779,104825383.0000,2,5.419500,1,-4.259100,0
2019-10-22,37.0997656800,37.7791403700,36.9619215400,37.2868398700,36.9619215400,1742847,66107567.0000,2,3.379700,1,0.879100,0
2019-10-23,37.3163779000,40.3686410000,37.2966858800,39.6794203000,37.2868398700,4694762,185304062.0000,2,9.103900,1,6.416700,0
2019-10-24,39.0000456100,40.2504888800,38.8917395000,39.1083517200,39.6794203000,3826415,153380333.0000,2,7.420100,1,-1.439200,0
2019-10-25,39.0492756600,39.2560418700,37.4936060800,38.1828267800,39.1083517200,2680957,104145078.0000,2,5.198800,1,-2.366600,0
2019-10-28,38.3994390000,39.4037320200,37.9662145600,39.1772737900,38.1828267800,2457088,96809397.0000,2,4.764700,1,2.604400,0
2019-10-29,39.7778804000,41.6683143200,39.3348099500,39.3446559600,39.1772737900,5197228,213626329.0000,2,10.078300,1,0.427200,0
2019-10-30,38.5766671800,39.1871198000,37.5329901200,37.7988323900,39.3446559600,3104612,120296996.0000,2,6.020400,1,-3.928900,0
2019-10-31,37.9071385000,38.1532887500,35.8000923600,35.9280904900,37.7988323900,3229289,120291708.0000,2,6.262100,1,-4.949200,0
2019-11-01,35.9773205400,36.4006989700,35.2585618100,36.1250106900,35.9280904900,2295957,83972005.0000,2,4.452200,1,0.548100,0
2019-11-04,36.4302370000,36.9028454800,35.8197843800,35.9477825100,36.1250106900,2925854,107878219.0000,2,5.673700,1,-0.490600,0
2019-11-05,35.9182444800,35.9182444800,34.3822669200,34.6087251500,35.9477825100,3270016,115719605.0000,2,6.341100,1,-3.725000,0
2019-11-06,34.6284171700,35.1404096900,34.0278105600,34.0278105600,34.6087251500,2103123,73990175.0000,2,4.078300,1,-1.678500,0
2019-11-07,34.1459626800,34.5102650500,33.5059720300,34.2148847500,34.0278105600,2352550,81560736.0000,2,4.562000,1,0.549800,0
2019-11-08,34.3330368700,35.1207176700,34.2641148000,34.4511889900,34.2148847500,2509440,88542065.0000,2,4.866200,1,0.690700,0
2019-11-11,34.2345767700,34.2345767700,31.7829202800,32.0979926000,34.4511889900,2964034,98862639.0000,2,5.747800,1,-6.830500,0
2019-11-12,32.3146048200,32.5607550700,31.9207644200,32.2949128000,32.0979926000,1707100,55951606.0000,2,3.310400,1,0.613500,0
2019-11-13,32.4426029500,32.9742874900,32.2949128000,32.4721409800,32.2949128000,1985196,65706163.0000,2,3.849600,1,0.548800,0
2019-11-14,32.4721409800,33.6241241500,32.0487625500,33.2992058200,32.4721409800,2844274,95593616.0000,2,5.515500,1,2.547000,0
2019-11-15,33.0629015800,34.4019589400,32.8955194100,33.5945861200,33.2992058200,2788613,95810105.0000,2,5.407600,1,0.887000,0
2019-11-18,33.5945861200,34.0376565700,32.9939795100,33.3188978400,33.5945861200,1498258,50936553.0000,2,2.905400,1,-0.820600,0
2019-11-19,33.1121316300,33.6635081900,33.1022856200,33.6241241500,33.3188978400,1381423,46981247.0000,2,2.678800,1,0.916100,0
2019-11-20,33.7619682900,33.7718143000,32.0881465900,32.3441428500,33.6241241500,2288150,76266975.0000,2,4.437100,1,-3.806700,0
2019-11-21,32.2949128000,32.2949128000,31.4186179100,31.5170780100,32.3441428500,1739589,55963468.0000,2,3.373400,1,-2.557100,0
2019-11-22,31.7927662900,32.1570686600,31.2315437200,31.5564620500,31.5170780100,1395870,44884943.0000,2,2.706800,1,0.125000,0
2019-11-25,31.4973859900,31.7730742700,30.2272507000,30.4832469600,31.5564620500,1382931,43219288.0000,2,2.681700,1,-3.400900,0
2019-11-26,30.5127849900,31.0936995800,30.4635549400,30.6506291300,30.4832469600,880563,27458722.0000,2,1.707600,1,0.549100,0
2019-11-27,30.6506291300,31.0740075600,30.5226310000,30.8081652900,30.6506291300,977102,30636835.0000,2,1.894800,1,0.514000,0
2019-11-28,30.8475493300,31.8026123000,30.8180113000,31.1823136700,30.8081652900,1438809,45771133.0000,2,2.790100,1,1.214400,0
2019-11-29,31.1133916000,31.7927662900,31.0149315000,31.7927662900,31.1823136700,1452978,46511888.0000,2,2.817600,1,1.957700,0
2019-12-02,31.8026123000,32.0783005800,31.3103118000,31.3496958400,31.7927662900,1535454,49383451.0000,2,2.977500,1,-1.393600,0
2019-12-03,31.0936995800,31.0936995800,29.7349502000,30.4537089300,31.3496958400,1632337,50263586.0000,2,3.165400,1,-2.858000,0
2019-12-04,30.2272507000,31.3693878600,30.1780206500,30.6013990800,30.4537089300,1447739,45376147.0000,2,2.807400,1,0.485000,0
2019-12-05,30.6900131700,30.8967793800,30.4044788800,30.7589352400,30.6013990800,1334766,41482808.0000,2,2.588300,1,0.514800,0
2019-12-06,30.8377033200,31.3496958400,30.6998591800,31.0149315000,30.7589352400,1402355,44171562.0000,2,2.719400,1,0.832300,0
2019-12-09,31.4087719000,33.5748941000,31.4087719000,33.4665879900,31.0149315000,5219386,173072707.0000,2,10.121300,1,7.904800,0
2019-12-10,33.2893598100,37.4049919900,32.9841335000,36.2333168000,33.4665879900,9580789,346946162.0000,2,18.578800,1,8.267100,0
2019-12-11,35.4456360000,37.2179178000,34.3527288900,34.7564153000,36.2333168000,6044550,217336086.0000,2,11.721400,1,-4.076100,0
