date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2015-12-30,13.1849414,13.23894116,12.79794312,12.8699428,12.88794272,40788273.0,588624304.0,2,2.879731,1,-0.1397,0,13.02294
2015-12-31,12.79794312,13.1399416,12.4199448,12.4649446,12.8699428,44846311.0,639632992.0,2,3.166236,1,-3.1469,0,12.70569
2016-01-04,12.32094524,12.599944,11.22295012,11.24995,12.4649446,49205977.0,656541520.0,2,3.474037,1,-9.7473,0,11.84845
2016-01-05,10.6199528,11.61894836,10.42195368,11.2049502,11.24995,81511363.0,1001600976.0,2,5.754859,1,-0.4,0,10.96645
2016-01-06,11.24995,12.0599464,11.1599504,11.8799472,11.2049502,87490407.0,1135050256.0,2,6.176991,1,6.0241,0,11.58745
2016-01-07,11.6099484,11.66394816,10.69195248,10.69195248,11.8799472,19611700.0,241546582.0,2,1.384624,1,-10.0,0,11.16445
2016-01-08,10.98895116,11.67294812,10.24195448,11.3849494,10.69195248,86288542.0,1067770480.0,2,6.092137,1,6.4815,0,11.0722
2016-01-11,11.00695108,11.32194968,10.25095444,10.25095444,11.3849494,71195420.0,854834976.0,2,5.026534,1,-9.9605,0,10.7077
2016-01-12,10.2599544,10.52095324,9.9449558,10.24195448,10.25095444,46249276.0,527015712.0,2,3.265288,1,-0.0878,0,10.24195
2016-01-13,10.349954,10.5299532,9.5399576,9.6299572,10.24195448,51784116.0,583189776.0,2,3.656058,1,-5.9754,0,10.01246
2016-01-14,9.2699588,9.95395576,9.224959,9.899956,9.6299572,57970132.0,618019856.0,2,4.092803,1,2.8037,0,9.58721
2016-01-15,9.74695668,9.82795632,8.9099604,9.11695948,9.899956,66817316.0,690803248.0,2,4.717431,1,-7.9091,0,9.40046
2016-01-18,8.6849614,9.35095844,8.6399616,9.08095964,9.11695948,48314579.0,488821824.0,2,3.411102,1,-0.3949,0,8.93921
2016-01-19,9.0449598,9.6299572,9.01795992,9.54895756,9.08095964,53038260.0,550562240.0,2,3.744603,1,5.1536,0,9.31046
2016-01-20,9.43195808,9.674957,9.1799592,9.30595864,9.54895756,49038500.0,510892208.0,2,3.462213,1,-2.5448,0,9.39821
2016-01-21,9.1349594,9.48595784,8.80196088,8.81096084,9.30595864,46836357.0,478247520.0,2,3.306737,1,-5.3192,0,9.05846
2016-01-22,8.96396016,9.3599584,8.84696068,9.1799592,8.81096084,46481144.0,468682832.0,2,3.281658,1,4.1879,0,9.08771
2016-01-25,9.2699588,9.66595704,9.14395936,9.42295812,9.1799592,51698346.0,541627616.0,2,3.650003,1,2.6471,0,9.37571
2016-01-26,9.224959,9.30595864,8.47796232,8.47796232,9.42295812,47251666.0,468563408.0,2,3.336059,1,-10.0287,0,8.87171
2016-01-27,8.6399616,8.9549602,8.324963,8.8199608,8.47796232,55890005.0,536432944.0,2,3.945942,1,4.034,0,8.68496
2016-01-28,8.69396136,9.08095964,8.4149626,8.46896236,8.8199608,53594224.0,521850512.0,2,3.783855,1,-3.9796,0,8.66471
2016-01-29,8.51396216,8.90096044,8.33396296,8.76596104,8.46896236,40895852.0,393713904.0,2,2.887326,1,3.5069,0,8.62871
2016-02-01,8.72096124,8.7299612,8.08196408,8.35196288,8.76596104,36243901.0,341096784.0,2,2.558889,1,-4.7228,0,8.47121
2016-02-02,8.40596264,8.67596144,8.36096284,8.6399616,8.35196288,29198342.0,278090368.0,2,2.061459,1,3.4483,0,8.52071
2016-02-03,8.49596224,8.69396136,8.35196288,8.65796152,8.6399616,31748334.0,300546544.0,2,2.241494,1,0.2083,0,8.54996
2016-02-04,9.00895996,9.52195768,8.99096004,9.52195768,8.65796152,52828401.0,547567376.0,2,3.729787,1,9.9792,0,9.26096
2016-02-05,9.70195688,9.78295652,9.1349594,9.18895916,9.52195768,69641920.0,733093328.0,2,4.916854,1,-3.4972,0,9.45221
2016-02-15,9.0899596,9.89095604,9.01795992,9.61195728,9.18895916,61990042.0,650421632.0,2,4.376616,1,4.6033,0,9.40271
2016-02-16,9.46795792,9.81895636,9.36895836,9.72895676,9.61195728,63041920.0,673626480.0,2,4.450881,1,1.2172,0,9.59621
2016-02-17,9.5399576,9.77395656,9.43195808,9.7199568,9.72895676,50661669.0,540849520.0,2,3.576811,1,-0.0925,0,9.61646
2016-02-18,9.899956,10.02595544,9.53095764,9.56695748,9.7199568,55418427.0,602887744.0,2,3.912648,1,-1.5741,0,9.75596
2016-02-19,9.449958,9.674957,9.37795832,9.53095764,9.56695748,38564076.0,407228096.0,2,2.722698,1,-0.3763,0,9.50846
2016-02-22,9.674957,10.07095524,9.62095724,9.78295652,9.53095764,66982947.0,731926064.0,2,4.729125,1,2.644,0,9.78746
2016-02-23,9.81895636,10.06195528,9.61195728,9.86395616,9.78295652,59613874.0,652001104.0,2,4.208854,1,0.828,0,9.83921
2016-02-24,9.7199568,10.34095404,9.66595704,10.07095524,9.86395616,68323393.0,754291360.0,2,4.823763,1,2.0985,0,9.94946
2016-02-25,10.07095524,10.27795432,9.06295972,9.12595944,10.07095524,85097649.0,913487280.0,2,6.008058,1,-9.3834,0,9.63446
2016-02-26,9.17095924,9.44095804,9.02695988,9.3599584,9.12595944,56403753.0,578834912.0,2,3.982214,1,2.5641,0,9.24971
2016-02-29,9.3599584,9.4049582,8.43296252,8.83796072,9.3599584,53866127.0,528375488.0,2,3.803052,1,-5.5769,0,9.00896
2016-03-01,8.8199608,9.43195808,8.774961,9.24295892,8.83796072,59104568.0,598400112.0,2,4.172896,1,4.5825,0,9.06746
2016-03-02,9.27895876,10.1699548,9.24295892,10.1699548,9.24295892,86621028.0,943435696.0,2,6.115611,1,10.0292,0,9.71546
2016-03-03,10.6649526,11.1149506,10.47595344,10.5299532,10.1699548,138807740.0,1652705136.0,2,9.800094,1,3.5398,0,10.69645
2016-03-04,10.7549522,10.92595144,10.19695468,10.574953,10.5299532,113467401.0,1338730752.0,2,8.011017,1,0.4274,0,10.6132
2016-03-07,11.2049502,11.63694828,10.94395136,11.25894996,10.574953,129859410.0,1633489568.0,2,9.168324,1,6.4681,0,11.2612
2016-03-08,11.1599504,11.41194928,10.79095204,11.09695068,11.25894996,112103572.0,1375552272.0,2,7.914728,1,-1.4389,0,11.11495
2016-03-09,10.36795392,10.47595344,10.05295532,10.25095444,11.09695068,81840972.0,936835232.0,2,5.77813,1,-7.6237,0,10.28695
2016-03-10,10.32295412,10.38595384,9.674957,9.79195648,10.25095444,67056243.0,753057776.0,2,4.7343,1,-4.4776,0,10.04396
2016-03-11,9.79195648,10.13395496,9.7199568,10.02595544,9.79195648,58509785.0,644973344.0,2,4.130904,1,2.3897,0,9.91796
2016-03-14,9.92695588,10.54795312,9.79195648,10.31395416,10.02595544,80266117.0,911495120.0,2,5.666942,1,2.8725,0,10.1452
2016-03-15,10.0799552,10.14295492,9.87295612,10.0349554,10.31395416,46965621.0,521241616.0,2,3.315863,1,-2.7051,0,10.03271
2016-03-16,10.02595544,10.20595464,9.60295732,9.80095644,10.0349554,42155216.0,461368368.0,2,2.976239,1,-2.3318,0,9.90896
2016-03-17,9.9899556,10.17895476,9.86395616,10.07095524,9.80095644,62011820.0,692686208.0,2,4.378154,1,2.7548,0,10.02596
2016-03-18,10.2599544,10.87195168,10.2599544,10.56595304,10.07095524,78771094.0,919962464.0,2,5.561391,1,4.9151,0,10.48945
2016-03-21,10.49395336,11.06095084,10.3049542,10.92595144,10.56595304,95183337.0,1127674448.0,2,6.720127,1,3.4072,0,10.69645
2016-03-22,10.70095244,10.8899516,10.5299532,10.6199528,10.92595144,66091561.0,784546592.0,2,4.666191,1,-2.8007,0,10.6852
2016-03-23,10.5299532,10.8449518,10.4849534,10.72795232,10.6199528,63229636.0,749892832.0,2,4.464134,1,1.0169,0,10.64695
2016-03-24,10.3949538,10.40395376,10.124955,10.17895476,10.72795232,63658076.0,726782768.0,2,4.494383,1,-5.1174,0,10.2757
2016-03-25,10.18795472,10.25095444,10.06195528,10.2149546,10.17895476,29940929.0,338036672.0,2,2.113887,1,0.3537,0,10.17895
2016-03-28,10.26895436,10.54795312,10.07095524,10.1699548,10.2149546,50556721.0,580834208.0,2,3.569402,1,-0.4405,0,10.26445
2016-03-29,10.16095484,10.36795392,9.97195568,10.02595544,10.1699548,35635344.0,402449296.0,2,2.515924,1,-1.4159,0,10.1317
2016-03-30,10.18795472,10.34095404,10.11595504,10.28695428,10.02595544,34154574.0,388490400.0,2,2.411379,1,2.6032,0,10.23295
2016-03-31,10.26895436,10.31395416,10.04395536,10.22395456,10.28695428,40228132.0,455720368.0,2,2.840184,1,-0.6124,0,10.2127
2016-04-01,10.2149546,10.42195368,10.14295492,10.40395376,10.22395456,48493491.0,556238624.0,2,3.423734,1,1.7606,0,10.29595
2016-04-05,10.26895436,10.54795312,10.10695508,10.5299532,10.40395376,59074965.0,680276752.0,2,4.170806,1,1.2111,0,10.36345
2016-04-06,10.8449518,11.06095084,10.349954,10.5299532,10.5299532,74057817.0,879366800.0,2,5.228625,1,0.0,0,10.69645
