date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2016-11-18,12.1720278400,14.6037757600,12.1720278400,14.6037757600,10.1422491800,8400,368166.0000,2,0.036740,1,43.989510,0
2016-11-21,16.0654821600,16.0654821600,16.0654821600,16.0654821600,14.6037757600,7486,362022.0000,2,0.032742,1,10.009100,0
2016-11-22,17.6733592000,17.6733592000,17.6733592000,17.6733592000,16.0654821600,2000,106400.0000,2,0.008748,1,10.008270,0
2016-11-23,19.4406951200,19.4406951200,19.4406951200,19.4406951200,17.6733592000,2900,169708.0000,2,0.012684,1,9.999999,0
2016-11-24,21.3841002200,21.3841002200,21.3841002200,21.3841002200,19.4406951200,1619,104215.0000,2,0.007081,1,9.996586,0
2016-11-25,23.5235068600,23.5235068600,23.5235068600,23.5235068600,21.3841002200,12193,863386.0000,2,0.053330,1,10.004650,0
2016-11-28,25.8755253400,25.8755253400,25.8755253400,25.8755253400,23.5235068600,10744,836850.0000,2,0.046992,1,9.998590,0
2016-11-29,28.4634100800,28.4634100800,28.4634100800,28.4634100800,25.8755253400,10253,878477.0000,2,0.044844,1,10.001290,0
2016-11-30,31.3104155000,31.3104155000,31.3104155000,31.3104155000,28.4634100800,31625,2980656.0000,2,0.138321,1,10.002330,0
2016-12-01,34.4431180800,34.4431180800,34.4431180800,34.4431180800,31.3104155000,28900,2996352.0000,2,0.126402,1,10.005310,0
2016-12-02,37.8880943000,37.8880943000,37.8880943000,37.8880943000,34.4431180800,43861,5002347.0000,2,0.191839,1,10.001930,0
2016-12-05,41.6785647600,41.6785647600,41.6785647600,41.6785647600,37.8880943000,143577,18013170.0000,2,0.627975,1,10.004380,0
2016-12-06,45.8477500600,45.8477500600,45.1800160000,45.8477500600,41.6785647600,4686875,646477776.0000,2,20.499377,1,10.003180,0
2016-12-07,46.8410460000,47.7047816000,45.1833380600,46.6749430000,45.8477500600,13498209,1884836352.0000,2,59.038244,1,1.804221,0
2016-12-08,45.8444280000,47.1699299400,44.7813688000,44.7813688000,46.6749430000,7338998,1015526080.0000,2,32.099189,1,-4.056937,0
2016-12-09,44.7813688000,45.0471336000,41.5257500000,41.9011427800,44.7813688000,7343464,950832000.0000,2,32.118722,1,-6.431755,0
2016-12-12,42.3097561600,43.0206770000,40.9277792000,41.9111089600,41.9011427800,5291219,670136976.0000,2,23.142647,1,0.023790,0
2016-12-13,41.5822250200,43.3628491800,41.4593088000,42.1237208000,41.9111089600,4734600,606133904.0000,2,20.708116,1,0.507292,0
2016-12-14,41.3596470000,42.3197223400,39.9012626600,40.9443895000,42.1237208000,3974232,492387712.0000,2,17.382431,1,-2.799687,0
2016-12-15,40.8845924200,44.1435332800,40.6985570600,42.8678622400,40.9443895000,4190399,539040000.0000,2,18.327898,1,4.697763,0
2016-12-16,42.6884710000,42.9642019800,41.5921912000,42.5888092000,42.8678622400,2765325,352319424.0000,2,12.094933,1,-0.650958,0
2016-12-19,42.3562650000,44.3860436600,41.9443295600,43.6784448800,42.5888092000,3449227,452455408.0000,2,15.086172,1,2.558501,0
2016-12-20,43.5189860000,44.7813688000,42.8147092800,43.5555286600,43.6784448800,2965470,390495936.0000,2,12.970324,1,-0.281408,0
2016-12-21,43.4591889200,43.6850890000,41.9875163400,42.8545740000,43.5555286600,2459053,316567136.0000,2,10.755366,1,-1.609336,0
2016-12-22,42.7416239600,44.5089598800,42.5456224200,43.8445478800,42.8545740000,2971262,392370576.0000,2,12.995657,1,2.310074,0
2016-12-23,43.8146493400,44.1069906200,42.1968061200,42.6884710000,43.8445478800,2598395,335335872.0000,2,11.364817,1,-2.636760,0
2016-12-26,41.5357161800,44.4823834000,41.2599852000,44.0837362000,42.6884710000,3184628,415262544.0000,2,13.928874,1,3.268480,0
2016-12-27,44.0538376600,44.8278776400,43.4126800800,44.5820452000,44.0837362000,2494009,331035104.0000,2,10.908256,1,1.130369,0
2016-12-28,44.3395348200,47.1732520000,44.1833980000,46.0437516000,44.5820452000,3650117,503310128.0000,2,15.964822,1,3.278695,0
2016-12-29,45.8444280000,47.3393550000,45.6783250000,46.2098546000,46.0437516000,3093626,431976896.0000,2,13.530850,1,0.360750,0
2016-12-30,45.8776486000,48.7678408000,45.5520867200,47.6682389400,46.2098546000,3343216,475039552.0000,2,14.622503,1,3.156002,0
2017-01-03,47.6682389400,48.3260068200,47.1068108000,47.5586109600,47.6682389400,2404288,344045600.0000,2,10.515835,1,-0.229983,0
2017-01-04,47.4722374000,48.1599038200,46.1832781200,46.7679606800,47.5586109600,3229747,456218672.0000,2,14.126214,1,-1.662479,0
2017-01-05,46.5088400000,47.6682389400,45.9607001000,46.1766340000,46.7679606800,2712686,381664384.0000,2,11.864701,1,-1.264383,0
2017-01-06,45.9407677400,46.1268031000,41.5589706000,41.7250736000,46.1766340000,5229224,685353760.0000,2,22.871494,1,-9.640289,0
2017-01-09,40.5291320000,41.4991735200,40.1304848000,40.5955732000,41.7250736000,2342786,287376896.0000,2,10.246839,1,-2.707007,0
2017-01-10,40.6653364600,41.3397146400,39.9643818000,40.0607215400,40.5955732000,1693757,207202394.0000,2,7.408126,1,-1.317513,0
2017-01-11,39.7982788000,40.2999098600,38.7551519600,39.8115670400,40.0607215400,2379809,283391440.0000,2,10.408769,1,-0.621942,0
2017-01-12,39.8813303000,40.9443895000,39.7052611200,39.9145509000,39.8115670400,1370363,166159691.0000,2,5.993671,1,0.258683,0
2017-01-13,39.8879744200,40.9477115600,38.8681020000,39.8846523600,39.9145509000,1893811,227802924.0000,2,8.283119,1,-0.074910,0
2017-01-16,38.9777299800,40.4826231600,37.2070720000,39.8979406000,39.8846523600,2221159,263514266.0000,2,9.714869,1,0.033317,0
2017-01-17,39.5524463600,41.1271028000,38.2070120600,40.9842542200,39.8979406000,2532320,304012928.0000,2,11.075820,1,2.722735,0
2017-01-18,40.6287938000,41.9111089600,40.3962496000,40.9144909600,40.9842542200,1790110,222224178.0000,2,7.829554,1,-0.170219,0
2017-01-19,39.9643818000,40.8613380000,39.0009844000,39.4062757200,40.9144909600,2052706,245880156.0000,2,8.978092,1,-3.686262,0
2017-01-20,38.6355578000,41.3961896600,38.6355578000,41.0772719000,39.4062757200,2073995,253464513.0000,2,9.071205,1,4.240430,0
2017-01-23,41.1935440000,42.0572796000,40.8945586000,41.4526646800,41.0772719000,1641821,204989357.0000,2,7.180970,1,0.913868,0
2017-01-24,41.7483280200,43.5056977600,41.4526646800,42.8811504800,41.4526646800,2454525,314594832.0000,2,10.735561,1,3.446068,0
2017-01-25,42.6419621600,43.8445478800,42.1934840600,43.7116654800,42.8811504800,1749339,227011061.0000,2,7.651230,1,1.936783,0
2017-01-26,43.5389183600,44.4823834000,43.0705079000,43.5588507200,43.7116654800,1676185,220012717.0000,2,7.331270,1,-0.349602,0
2017-02-03,42.8545740000,42.9542358000,39.9245170800,39.9876362200,43.5588507200,2724589,340561232.0000,2,11.916763,1,-8.198591,0
2017-02-06,39.9444494400,40.7384217800,39.2368506600,40.6553702800,39.9876362200,1741286,210906077.0000,2,7.616008,1,1.669847,0
2017-02-07,40.4626908000,40.4959114000,39.2003080000,39.3597668800,40.6553702800,1731714,207238021.0000,2,7.574142,1,-3.186790,0
2017-02-08,39.1272226800,40.5889290800,39.1106123800,40.4261481400,39.3597668800,1570917,189575979.0000,2,6.870851,1,2.709317,0
2017-02-09,40.2035701200,41.1835778200,39.9311612000,40.2135363000,40.4261481400,1590535,194093200.0000,2,6.956656,1,-0.525926,0
2017-02-10,40.3231642800,40.9344233200,39.8248552800,39.9411273800,40.2135363000,1442417,175102830.0000,2,6.308820,1,-0.677406,0
2017-02-13,39.7318376000,40.9975424600,39.4660728000,40.9609998000,39.9411273800,1539599,187260550.0000,2,6.733873,1,2.553439,0
2017-02-14,40.8912365400,41.3596470000,40.6287938000,40.8447277000,40.9609998000,1096976,135222088.0000,2,4.797936,1,-0.283865,0
2017-02-15,40.6952350000,41.2932058000,39.8746861800,40.7251335400,40.8447277000,1645625,202106717.0000,2,7.197608,1,-0.292803,0
2017-02-16,40.3630290000,40.4959114000,39.4992934000,39.6321758000,40.7251335400,1489847,178890231.0000,2,6.516268,1,-2.683737,0
2017-02-17,39.8647200000,40.4327922600,39.2335286000,39.8613979400,39.6321758000,1107345,132684813.0000,2,4.843287,1,0.578369,0
2017-02-20,39.9079067800,40.1570612800,38.8681020000,39.4693948600,39.8613979400,1216688,143832584.0000,2,5.321530,1,-0.983415,0
2017-02-21,39.4561066200,40.7616762000,39.2501389000,40.5424202400,39.4693948600,1374898,166369555.0000,2,6.013506,1,2.718629,0
2017-02-22,40.5723187800,40.8247953400,39.7218714200,40.1637054000,40.5424202400,1053386,127458516.0000,2,4.607282,1,-0.934119,0
2017-02-23,40.0939421400,42.9210152000,39.8746861800,42.1536193400,40.1637054000,2879987,359624864.0000,2,12.596440,1,4.954506,0
2017-02-24,41.8778883600,42.3562650000,41.4858852800,41.9410075000,42.1536193400,1716883,216616953.0000,2,7.509275,1,-0.504373,0
2017-02-27,41.9775501600,42.7881328000,41.5290720600,42.2499590800,41.9410075000,1583102,201171502.0000,2,6.924145,1,0.736634,0
2017-02-28,42.6153856800,43.7448860800,41.6918530000,43.1502373400,42.2499590800,2312304,298218368.0000,2,10.113517,1,2.130837,0
2017-03-01,42.5290121200,42.9542358000,42.0174148800,42.0572796000,43.1502373400,1656997,211832290.0000,2,7.247346,1,-2.532913,0
2017-03-02,42.0772119600,43.7847508000,42.0240590000,42.7283357200,42.0572796000,2149733,278472944.0000,2,9.402467,1,1.595574,0
2017-03-03,42.1901620000,43.0705079000,42.1037884400,42.8446078200,42.7283357200,1232368,157879545.0000,2,5.390111,1,0.272124,0
