date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,4577.9640,4585.9720,4529.9730,4584.8370,4582.4450,10221424128,135411699712.0000,3,0.004293,1,0.052200,0
2015-12-31,4574.3470,4585.5470,4536.3560,4555.2320,4584.8370,10020589056,127507693568.0000,3,0.004208,1,-0.645700,0
2016-01-04,4543.1530,4543.1540,4289.4560,4290.0870,4555.2320,11335756032,126776352768.0000,3,0.004760,1,-5.820700,0
2016-01-05,4219.3090,4355.0440,4208.0620,4316.7190,4290.0870,15796610048,169803083776.0000,3,0.006633,1,0.620800,0
2016-01-06,4314.9130,4381.7950,4305.0690,4378.8210,4316.7190,14238293760,140285304832.0000,3,0.005978,1,1.438600,0
2016-01-07,4315.3870,4315.3870,4119.1900,4130.9570,4378.8210,4226105696,40966918144.0000,3,0.001772,1,-5.660500,0
2016-01-08,4212.3910,4267.0890,4088.2220,4205.8150,4130.9570,17873840128,175841275904.0000,3,0.007485,1,1.812100,0
2016-01-11,4144.6500,4174.1170,4029.0380,4029.0380,4205.8150,16980457472,161113497600.0000,3,0.007109,1,-4.203200,0
2016-01-12,4055.9840,4080.9180,4018.7300,4049.8680,4029.0380,12065890048,117600804864.0000,3,0.005051,1,0.517000,0
2016-01-13,4083.1320,4100.5290,4000.6790,4000.8800,4049.8680,11410316288,109679456256.0000,3,0.004777,1,-1.209600,0
2016-01-14,3916.1970,4064.3480,3909.4350,4055.5440,4000.8800,12687278592,118693490688.0000,3,0.005311,1,1.366300,0
2016-01-15,4032.7920,4054.2790,3925.5650,3946.7460,4055.5440,11785626368,108831830016.0000,3,0.004934,1,-2.682700,0
2016-01-18,3889.6440,3987.1160,3886.4030,3945.7820,3946.7460,9495554048,87984181248.0000,3,0.003975,1,-0.024400,0
2016-01-19,3952.6420,4049.0250,3935.2100,4042.2440,3945.7820,12038401024,116485058560.0000,3,0.005040,1,2.444700,0
2016-01-20,4018.8130,4034.5440,3952.5500,3978.5220,4042.2440,12415250176,118599831552.0000,3,0.005197,1,-1.576400,0
2016-01-21,3940.2700,4017.4730,3889.0640,3889.4200,3978.5220,10529620992,99994820608.0000,3,0.004408,1,-2.239600,0
2016-01-22,3926.9090,3944.4160,3865.8460,3924.3880,3889.4200,8399992576,78364614656.0000,3,0.003516,1,0.899100,0
2016-01-25,3936.7270,3953.9860,3910.1100,3938.6460,3924.3880,7753454336,71314792448.0000,3,0.003244,1,0.363300,0
2016-01-26,3908.0280,3915.9820,3735.6910,3744.6540,3938.6460,12332061696,108373647360.0000,3,0.005156,1,-4.925300,0
2016-01-27,3759.5090,3776.4230,3657.6990,3740.0960,3744.6540,12763868416,107266195456.0000,3,0.005337,1,-0.121700,0
2016-01-28,3721.8600,3750.8440,3652.4950,3670.1920,3740.0960,9492814592,79398182912.0000,3,0.003969,1,-1.869000,0
2016-01-29,3672.1590,3789.9420,3671.4070,3765.7910,3670.1920,11033899008,93680975872.0000,3,0.004613,1,2.604700,0
2016-02-01,3759.9070,3766.7970,3676.1110,3708.0440,3765.7910,8615244800,72392466432.0000,3,0.003602,1,-1.533500,0
2016-02-02,3704.0670,3777.2680,3704.0670,3763.5290,3708.0440,8497985536,74363547648.0000,3,0.003553,1,1.496300,0
2016-02-03,3731.3590,3744.2400,3701.7440,3739.3610,3763.5290,7650597120,64976246784.0000,3,0.003198,1,-0.642200,0
2016-02-04,3755.3480,3789.5820,3752.0470,3778.0250,3739.3610,8873977856,76941864960.0000,3,0.003705,1,1.034000,0
2016-02-05,3777.5160,3784.6430,3758.7970,3767.3950,3778.0250,7392692480,65875358720.0000,3,0.003087,1,-0.281400,0
2016-02-15,3681.8270,3757.9480,3678.1700,3740.7290,3767.3950,6941763584,59125066752.0000,3,0.002899,1,-0.707800,0
2016-02-16,3756.5870,3837.6610,3756.2750,3832.4600,3740.7290,10755430400,91655647232.0000,3,0.004491,1,2.452200,0
2016-02-17,3829.2370,3857.9700,3820.0450,3856.8480,3832.4600,12541882880,102629183488.0000,3,0.005237,1,0.636400,0
2016-02-18,3872.3510,3887.4660,3844.6770,3849.3190,3856.8480,11979451136,102543015936.0000,3,0.005002,1,-0.195200,0
2016-02-19,3841.5270,3853.9960,3820.4330,3836.5540,3849.3190,8300027904,73510137856.0000,3,0.003466,1,-0.331600,0
2016-02-22,3871.0490,3926.5650,3860.8630,3914.4330,3836.5540,13526968064,118407032832.0000,3,0.005648,1,2.029900,0
2016-02-23,3911.2390,3911.2390,3852.0380,3878.9220,3914.4330,10706746624,95731630080.0000,3,0.004471,1,-0.907200,0
2016-02-24,3864.2250,3900.9410,3847.5670,3900.4140,3878.9220,10880060928,96648167424.0000,3,0.004543,1,0.554100,0
2016-02-25,3895.4670,3895.5220,3699.1160,3713.8780,3900.4140,15225315584,131470245888.0000,3,0.006351,1,-4.782500,0
2016-02-26,3736.2610,3769.8700,3708.3400,3753.2980,3713.8780,10204165888,86381244416.0000,3,0.004256,1,1.061400,0
2016-02-29,3747.1450,3750.1040,3639.2860,3716.8270,3753.2980,12328303360,103502016512.0000,3,0.005142,1,-0.971700,0
2016-03-01,3718.9830,3780.3740,3696.9590,3762.0590,3716.8270,10836673536,94131798016.0000,3,0.004520,1,1.217000,0
2016-03-02,3770.7020,3893.7090,3767.9570,3891.0030,3762.0590,17299247616,147487911936.0000,3,0.007216,1,3.427500,0
2016-03-03,3892.6360,3919.4950,3874.4560,3905.2360,3891.0030,17681212928,153647501312.0000,3,0.007375,1,0.365800,0
2016-03-04,3891.7850,4011.5730,3885.9360,3999.6630,3905.2360,21424071168,188968296448.0000,3,0.008936,1,2.418000,0
2016-03-07,4003.8030,4022.6600,3971.0360,3988.5720,3999.6630,12865261312,113575047168.0000,3,0.005366,1,-0.277300,0
2016-03-08,3982.2160,3998.3090,3867.4720,3993.5320,3988.5720,13171191040,113220358144.0000,3,0.005494,1,0.124400,0
2016-03-09,3922.2410,3973.0210,3889.8300,3972.1620,3993.5320,10453526272,90228289536.0000,3,0.004360,1,-0.535100,0
2016-03-10,3943.0790,3963.7440,3894.1830,3895.9990,3972.1620,7238652672,65559165440.0000,3,0.003019,1,-1.917400,0
2016-03-11,3863.9530,3896.3250,3846.4340,3896.1430,3895.9990,6920510208,63723764736.0000,3,0.002887,1,0.003700,0
2016-03-14,3914.0750,3981.2230,3903.6770,3921.4970,3896.1430,11011693056,103265132544.0000,3,0.004593,1,0.650700,0
2016-03-15,3921.6050,3952.3220,3883.4220,3947.3440,3921.4970,9194542080,84865654784.0000,3,0.003835,1,0.659100,0
2016-03-16,3931.4260,4006.2820,3927.8800,3999.4380,3947.3440,11924589056,110557667328.0000,3,0.004974,1,1.319700,0
2016-03-17,3999.9220,4038.3180,3964.1800,3998.3450,3999.4380,11247368192,108186505216.0000,3,0.004691,1,-0.027300,0
2016-03-18,4009.5510,4054.9500,3998.7960,4024.7720,3998.3450,18296428288,171390033920.0000,3,0.007629,1,0.660900,0
2016-03-21,4046.0340,4113.1910,4041.4790,4086.7030,4024.7720,21787650048,215140044800.0000,3,0.009085,1,1.538700,0
2016-03-22,4074.0130,4097.9920,4052.7630,4060.8330,4086.7030,14343780096,146705465344.0000,3,0.005981,1,-0.633000,0
2016-03-23,4055.0410,4078.1310,4039.1900,4060.8010,4060.8330,10987775488,110967607296.0000,3,0.004576,1,-0.000800,0
2016-03-24,4041.1610,4041.1610,4006.4650,4006.9400,4060.8010,11305120000,113277038592.0000,3,0.004708,1,-1.326400,0
2016-03-25,4005.2830,4033.4860,4005.0930,4025.5970,4006.9400,8332042240,82339606528.0000,3,0.003470,1,0.465600,0
2016-03-28,4032.9120,4055.4250,3978.1240,3988.0230,4025.5970,9685674496,98401492992.0000,3,0.004034,1,-0.933400,0
2016-03-29,3993.2350,4001.6320,3946.0440,3957.2800,3988.0230,8907972352,85684551680.0000,3,0.003710,1,-0.770900,0
2016-03-30,3985.0360,4049.2030,3985.0360,4046.3670,3957.2800,10632133120,104747130880.0000,3,0.004428,1,2.251200,0
2016-03-31,4060.8140,4063.8750,4034.1930,4046.4960,4046.3670,11154427904,111480774656.0000,3,0.004646,1,0.003200,0
2016-04-01,4045.9040,4067.2610,3992.0080,4066.7730,4046.4960,11319250944,104232570880.0000,3,0.004714,1,0.501100,0
2016-04-05,4044.8510,4103.6600,4035.0750,4095.8770,4066.7730,13809659648,128107474944.0000,3,0.005751,1,0.715700,0
2016-04-06,4075.2310,4092.0180,4057.7870,4077.6320,4095.8770,10707937536,103944638464.0000,3,0.004459,1,-0.445400,0
2016-04-07,4087.5390,4091.0990,4029.1900,4030.6670,4077.6320,10506642176,101321629696.0000,3,0.004376,1,-1.151800,0
2016-04-08,4008.8830,4024.9850,3993.0560,4010.6120,4030.6670,9292019968,89471545344.0000,3,0.003870,1,-0.497600,0
2016-04-11,4029.4250,4077.0240,4029.4250,4053.5730,4010.6120,11722246400,114875138048.0000,3,0.004882,1,1.071200,0
2016-04-12,4053.4150,4055.3600,4029.2120,4044.8340,4053.5730,8660694016,78538158080.0000,3,0.003607,1,-0.215600,0
2016-04-13,4065.4670,4127.4280,4065.4670,4088.8990,4044.8340,18195990528,164532199424.0000,3,0.007578,1,1.089400,0
2016-04-14,4109.2160,4119.4210,4081.5570,4101.8840,4088.8990,10672721920,97091964928.0000,3,0.004445,1,0.317600,0
2016-04-15,4109.1620,4123.6220,4093.9220,4108.7830,4101.8840,9567931648,92031238144.0000,3,0.003984,1,0.168200,0
2016-04-18,4085.6470,4086.1610,4064.6180,4068.9660,4108.7830,9181571328,89432211456.0000,3,0.003821,1,-0.969100,0
2016-04-19,4086.4650,4092.8230,4062.0640,4076.4050,4068.9660,7263815168,72282247168.0000,3,0.003023,1,0.182800,0
2016-04-20,4082.4130,4087.6340,3947.2870,4038.8320,4076.4050,14863991552,141316304896.0000,3,0.006186,1,-0.921700,0
2016-04-21,4015.7080,4068.7790,4002.2250,4028.0810,4038.8320,9363631104,88339611648.0000,3,0.003897,1,-0.266200,0
2016-04-22,4009.0360,4054.2150,4005.5400,4049.7660,4028.0810,6884090624,65913967872.0000,3,0.002865,1,0.538300,0
2016-04-25,4035.3220,4049.0590,4005.2970,4037.3980,4049.7660,6363178496,62918400000.0000,3,0.002648,1,-0.305400,0
2016-04-26,4033.4800,4060.4760,4023.5780,4052.4110,4037.3980,5450031104,56090355968.0000,3,0.002265,1,0.371800,0
2016-04-27,4056.4400,4062.3590,4035.9970,4039.6980,4052.4110,5658550784,59617599744.0000,3,0.002351,1,-0.313700,0
2016-04-28,4045.9830,4056.9980,4014.2870,4036.7910,4039.6980,6530190080,65238874880.0000,3,0.002713,1,-0.072000,0
2016-04-29,4029.0380,4047.0640,4024.1520,4027.8330,4036.7910,5610041600,60711862016.0000,3,0.002331,1,-0.221900,0
2016-05-03,4031.7540,4089.7820,4022.2270,4079.1790,4027.8330,9242486528,96101150720.0000,3,0.003838,1,1.274800,0
2016-05-04,4067.5680,4085.7750,4062.5540,4074.1650,4079.1790,8651323904,83637624832.0000,3,0.003593,1,-0.122900,0
2016-05-05,4068.0900,4078.3980,4057.5470,4073.9160,4074.1650,7020836608,68840898560.0000,3,0.002916,1,-0.006100,0
2016-05-06,4072.8690,4074.4080,3990.6230,3991.0660,4073.9160,10312194560,98345574400.0000,3,0.004280,1,-2.033700,0
2016-05-09,3979.8470,3979.8470,3914.0670,3928.3510,3991.0660,9482379264,84857405440.0000,3,0.003936,1,-1.571400,0
2016-05-10,3912.6140,3948.4740,3912.5870,3929.5420,3928.3510,6411880192,59276817408.0000,3,0.002661,1,0.030300,0
2016-05-11,3940.9820,3968.9790,3928.3160,3950.6290,3929.5420,7803905536,75003871232.0000,3,0.003238,1,0.536600,0
2016-05-12,3928.8650,3966.0200,3906.6530,3958.8240,3950.6290,7549734656,69720580096.0000,3,0.003131,1,0.207400,0
2016-05-13,3948.4220,3968.0700,3933.5860,3942.0890,3958.8240,6045715712,56183371520.0000,3,0.002507,1,-0.422700,0
2016-05-16,3929.6880,3955.6080,3920.1900,3955.5740,3942.0890,5626747904,54177686528.0000,3,0.002325,1,0.342100,0
2016-05-17,3954.5010,3955.1380,3927.6590,3936.6660,3955.5740,5793082112,56091851520.0000,3,0.002394,1,-0.478000,0
2016-05-18,3924.8060,3939.1370,3893.2430,3934.6050,3936.6660,7551276288,69621526528.0000,3,0.003119,1,-0.052400,0
2016-05-19,3923.1950,3944.5410,3915.3250,3919.2330,3934.6050,5405382912,49291151872.0000,3,0.002231,1,-0.390700,0
2016-05-20,3907.3150,3933.8980,3901.9250,3933.3370,3919.2330,4881823744,46150196736.0000,3,0.002015,1,0.359900,0
2016-05-23,3934.4080,3952.8100,3927.5320,3935.1240,3933.3370,5364395520,52233550336.0000,3,0.002214,1,0.045400,0
2016-05-24,3932.6060,3932.6180,3898.0750,3906.1560,3935.1240,5317579776,47231528704.0000,3,0.002194,1,-0.736100,0
