date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,2653.4700,2665.9060,2639.3680,2663.5040,2644.6810,834116752,25430168832.0000,3,0.026279,1,0.711700,0
2015-12-31,2665.0340,2668.5080,2596.0690,2596.0690,2663.5040,824705056,24255664640.0000,3,0.025982,1,-2.531800,0
2016-01-04,2591.1500,2596.5350,2384.5390,2385.3920,2596.0690,821712304,22893723648.0000,3,0.025642,1,-8.115200,0
2016-01-05,2253.6110,2376.2570,2235.9370,2319.5180,2385.3920,1222602688,31875357184.0000,3,0.038148,1,-2.761600,0
2016-01-06,2335.5020,2370.0970,2289.2070,2365.6780,2319.5180,944185520,26236458240.0000,3,0.029461,1,1.990100,0
2016-01-07,2313.0310,2313.0320,2165.7630,2166.1570,2365.6780,265587043,6862380032.0000,3,0.008287,1,-8.434000,0
2016-01-08,2200.1590,2219.1400,2060.8260,2157.0070,2166.1570,1078530464,27286872576.0000,3,0.033652,1,-0.422400,0
2016-01-11,2097.0740,2141.4230,2028.7830,2028.7820,2157.0070,995259392,24429485056.0000,3,0.031054,1,-5.944600,0
2016-01-12,2041.0310,2098.6760,2012.4910,2066.9950,2028.7820,959055552,24348556800.0000,3,0.029923,1,1.883600,0
2016-01-13,2078.3390,2088.4410,1981.3820,1981.3820,2066.9950,840307216,20431494400.0000,3,0.026218,1,-4.141900,0
2016-01-14,1919.8430,2098.9820,1917.8750,2093.7510,1981.3820,1076994336,26250134784.0000,3,0.033589,1,5.671200,0
2016-01-15,2078.8550,2099.4880,2020.0510,2033.8770,2093.7510,1130618160,25442371072.0000,3,0.035261,1,-2.859700,0
2016-01-18,1999.5240,2129.4580,1999.5250,2096.9120,2033.8770,1179032832,26488164864.0000,3,0.036732,1,3.099300,0
2016-01-19,2090.3100,2159.4700,2066.0240,2155.3400,2096.9120,1295746288,30229268992.0000,3,0.040368,1,2.786400,0
2016-01-20,2134.0870,2156.9300,2102.1060,2115.6770,2155.3400,1073491456,25452652288.0000,3,0.033442,1,-1.840200,0
2016-01-21,2084.1390,2150.8080,2025.8210,2025.8210,2115.6770,1075170304,23980372480.0000,3,0.033494,1,-4.247100,0
2016-01-22,2058.1530,2081.9150,1998.4640,2071.3010,2025.8210,1024842320,21308553472.0000,3,0.031927,1,2.245000,0
2016-01-25,2086.8420,2102.0970,2057.4320,2081.0970,2071.3010,818007152,17259868928.0000,3,0.025480,1,0.472900,0
2016-01-26,2054.6070,2057.2760,1916.1020,1917.4720,2081.0970,941316672,19872668160.0000,3,0.029301,1,-7.862400,0
2016-01-27,1923.1200,1950.8170,1825.9200,1936.4150,1917.4720,1135695888,23114476544.0000,3,0.035351,1,0.987900,0
2016-01-28,1907.3970,1928.4050,1839.9190,1848.1390,1936.4150,812823520,16439294720.0000,3,0.025300,1,-4.558700,0
2016-01-29,1848.5160,1949.8830,1848.5170,1932.6890,1848.1390,907794576,19189193216.0000,3,0.028256,1,4.574900,0
2016-02-01,1925.9040,1941.9720,1891.0520,1926.8970,1932.6890,800213248,16705686784.0000,3,0.024905,1,-0.299700,0
2016-02-02,1929.6880,2020.6740,1929.6890,2005.1880,1926.8970,980036432,21063283200.0000,3,0.030503,1,4.063100,0
2016-02-03,1978.3660,2032.3270,1964.7990,2017.1220,2005.1880,890357696,18993007616.0000,3,0.027710,1,0.595200,0
2016-02-04,2022.1670,2068.4220,2022.1680,2054.1770,2017.1220,962810176,21389268992.0000,3,0.029962,1,1.837000,0
2016-02-05,2053.0430,2067.6820,2019.4360,2019.4390,2054.1770,672233280,15193980672.0000,3,0.020920,1,-1.691100,0
2016-02-15,1957.7560,2052.8250,1957.7560,2037.8380,2019.4400,746706640,16138186752.0000,3,0.023237,1,0.911000,0
2016-02-16,2050.9950,2131.9420,2050.9960,2121.4730,2037.8390,1035695664,24340832768.0000,3,0.032225,1,4.104000,0
2016-02-17,2114.9140,2133.1290,2086.0370,2129.4530,2121.4730,1053368240,23236473856.0000,3,0.032774,1,0.376200,0
2016-02-18,2144.0040,2155.8660,2102.4500,2105.8450,2129.4540,1021164880,23080805632.0000,3,0.031772,1,-1.108700,0
2016-02-19,2101.1590,2145.1470,2095.8510,2127.2860,2105.8450,958156576,22373193216.0000,3,0.029812,1,1.018200,0
2016-02-22,2152.1080,2156.3710,2124.5180,2156.3700,2127.2860,1045916096,25669844480.0000,3,0.032543,1,1.367200,0
2016-02-23,2154.5000,2156.3670,2092.9020,2123.8380,2156.3710,954009168,22693911808.0000,3,0.029683,1,-1.508700,0
2016-02-24,2114.1510,2135.1080,2063.3390,2112.7450,2123.8390,856538656,19749362176.0000,3,0.026650,1,-0.522400,0
2016-02-25,2105.7030,2105.7030,1944.7750,1949.2370,2112.7460,1035885136,22961992448.0000,3,0.032227,1,-7.739200,0
2016-02-26,1953.8630,1965.2070,1891.3970,1923.0150,1949.2380,832988336,17540449280.0000,3,0.025915,1,-1.345300,0
2016-02-29,1908.4380,1908.4380,1773.1670,1780.9890,1923.0160,886589472,17445373440.0000,3,0.027515,1,-7.385600,0
2016-03-01,1780.1130,1848.6960,1740.1510,1830.9140,1780.9890,914671936,18165845760.0000,3,0.028386,1,2.803200,0
2016-03-02,1826.1910,1912.6520,1818.4300,1906.7670,1830.9140,1223710560,22696486912.0000,3,0.037976,1,4.142900,0
2016-03-03,1905.6060,1954.9310,1896.3790,1902.8320,1906.7680,1174463072,22994497280.0000,3,0.036450,1,-0.206400,0
2016-03-04,1889.2770,1898.1290,1794.2990,1803.8200,1902.8320,1054361936,20151800064.0000,3,0.032716,1,-5.203400,0
2016-03-07,1834.0860,1892.0760,1834.0870,1851.2740,1803.8200,798507184,15559305472.0000,3,0.024777,1,2.630800,0
2016-03-08,1842.5810,1898.8530,1766.2310,1898.8530,1851.2750,1098159952,21119032576.0000,3,0.034076,1,2.570000,0
2016-03-09,1860.6260,1914.8220,1847.5820,1872.0100,1898.8530,958588784,18425767424.0000,3,0.029744,1,-1.413600,0
2016-03-10,1875.0050,1895.5860,1837.4150,1838.7350,1872.0100,737625152,14841212928.0000,3,0.022886,1,-1.777500,0
2016-03-11,1814.7890,1849.5700,1808.2730,1835.6140,1838.7360,569785120,11051836160.0000,3,0.017677,1,-0.169800,0
