date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,1121.9220,1122.1240,1110.9310,1121.0550,1122.6570,4702775552,56869225472.0000,3,0.002973,1,-0.142700,0
2015-12-31,1119.2160,1123.6510,1108.7990,1108.8970,1121.0550,4606871552,50249954560.0000,3,0.002912,1,-1.084500,0
2016-01-04,1108.4890,1109.3080,1029.6530,1029.7900,1108.8970,5015444736,47766204160.0000,3,0.003171,1,-7.133800,0
2016-01-05,1005.6830,1044.6040,1002.4100,1033.6850,1029.7900,7017920256,65007247360.0000,3,0.004436,1,0.378200,0
2016-01-06,1035.3000,1062.5390,1034.7850,1061.7600,1033.6850,6229049344,54184890880.0000,3,0.003938,1,2.716000,0
2016-01-07,1045.8690,1045.8690,981.4250,983.7290,1061.7600,1781754800,14959811584.0000,3,0.001124,1,-7.349200,0
2016-01-08,1009.7190,1025.5710,973.3590,1011.1150,983.7290,7692171520,66586956800.0000,3,0.004854,1,2.783900,0
2016-01-11,997.7400,1011.1900,966.0810,966.0810,1011.1150,8324325888,67415068672.0000,3,0.005197,1,-4.453900,0
2016-01-12,972.5220,979.5870,956.6460,970.6270,966.0810,5757818624,48105903360.0000,3,0.003594,1,0.470600,0
2016-01-13,975.7820,986.6120,954.4570,954.4570,970.6270,5384357376,42593595136.0000,3,0.003361,1,-1.665900,0
2016-01-14,930.4450,975.6830,928.8110,973.6320,954.4570,6144481280,48668350976.0000,3,0.003836,1,2.009000,0
2016-01-15,966.8100,970.4730,931.0360,936.5900,973.6320,5691593216,44627108608.0000,3,0.003553,1,-3.804500,0
2016-01-18,919.7720,948.6050,919.1640,937.5530,936.5900,4667355136,36134784512.0000,3,0.002914,1,0.102800,0
2016-01-19,937.1220,969.7030,933.3310,968.5400,937.5530,5872292864,49315955456.0000,3,0.003666,1,3.305100,0
2016-01-20,964.1560,971.0140,948.6940,955.9450,968.5400,6091004672,50931953664.0000,3,0.003802,1,-1.300400,0
2016-01-21,942.1330,963.1120,927.1980,927.2510,955.9450,5176817408,41900080640.0000,3,0.003232,1,-3.001600,0
2016-01-22,937.2470,945.0270,919.5950,938.7400,927.2510,4173402896,33343827712.0000,3,0.002605,1,1.239000,0
2016-01-25,943.9570,950.4360,937.0470,943.9570,938.7400,3610008800,28112775680.0000,3,0.002254,1,0.555700,0
2016-01-26,934.9760,937.1020,883.1530,884.2540,943.9570,5550283008,42046733312.0000,3,0.003465,1,-6.324800,0
2016-01-27,888.1360,891.7870,850.3100,879.7880,884.2540,5788120832,43231022336.0000,3,0.003613,1,-0.505100,0
2016-01-28,873.1000,881.6740,850.5400,852.8840,879.7880,4256201104,31794584576.0000,3,0.002657,1,-3.058000,0
2016-01-29,852.7880,885.9540,851.4740,880.1140,852.8840,5064263168,37227863296.0000,3,0.003161,1,3.192700,0
2016-02-01,876.6430,878.5720,851.3270,861.3950,880.1140,3906607504,28040412672.0000,3,0.002438,1,-2.126900,0
2016-02-02,860.9850,882.8530,860.9470,879.1530,861.3950,3924418704,29614331136.0000,3,0.002450,1,2.061500,0
2016-02-03,870.8480,876.4180,862.2960,874.5320,879.1530,3485716800,25562852608.0000,3,0.002176,1,-0.525600,0
2016-02-04,877.3880,890.0330,877.3880,885.5650,874.5320,3899627200,29156344576.0000,3,0.002434,1,1.261600,0
2016-02-05,886.1710,888.0230,878.4180,878.6400,885.5650,3161073600,23732150272.0000,3,0.001973,1,-0.782000,0
2016-02-15,855.6550,876.8360,854.2000,872.1120,878.6400,2952054800,22195962880.0000,3,0.001843,1,-0.743000,0
2016-02-16,876.3420,901.4470,876.3110,900.3750,872.1120,4559926528,32851759104.0000,3,0.002846,1,3.240800,0
2016-02-17,900.4890,911.2320,898.1730,911.1590,900.3750,6046149120,39772206080.0000,3,0.003774,1,1.197700,0
2016-02-18,915.8660,920.5940,908.2230,909.3850,911.1590,5467753472,38347520768.0000,3,0.003413,1,-0.194700,0
2016-02-19,907.1240,911.6390,901.2170,906.9480,909.3850,3653960896,27032475904.0000,3,0.002281,1,-0.268000,0
2016-02-22,915.4360,931.0890,913.5150,928.7580,906.9480,6480902912,46451680768.0000,3,0.004045,1,2.404800,0
2016-02-23,927.5050,928.6620,911.9890,921.0430,928.7580,4559048448,33792161536.0000,3,0.002846,1,-0.830700,0
2016-02-24,916.9100,928.1980,910.8730,928.1010,921.0430,4291430496,32451791872.0000,3,0.002679,1,0.766300,0
2016-02-25,926.1580,926.1580,861.0600,866.9230,928.1010,6492479488,45607936512.0000,3,0.004053,1,-6.591700,0
2016-02-26,874.7600,885.8330,864.6370,881.0380,866.9230,4403406336,30101296384.0000,3,0.002749,1,1.628200,0
2016-02-29,878.6040,878.6900,842.5310,859.5830,881.0380,5636445440,38672421632.0000,3,0.003518,1,-2.435200,0
2016-03-01,861.5250,880.3550,855.5370,876.4100,859.5830,4476461824,32216689664.0000,3,0.002794,1,1.957600,0
2016-03-02,875.8200,917.5010,875.6820,916.4530,876.4100,7466164224,55316889600.0000,3,0.004660,1,4.569000,0
2016-03-03,915.5820,925.0440,912.5190,916.9850,916.4530,7062281984,56224929792.0000,3,0.004408,1,0.058000,0
2016-03-04,913.2590,931.7980,909.2670,927.4970,916.9850,10921548800,84767215616.0000,3,0.006817,1,1.146400,0
2016-03-07,934.9840,941.2640,924.8060,933.0950,927.4970,5688396800,44355408384.0000,3,0.003551,1,0.603600,0
2016-03-08,933.6780,933.7780,902.0030,931.4510,933.0950,5861587968,42114905856.0000,3,0.003659,1,-0.176200,0
2016-03-09,911.2270,915.4100,900.6450,915.2290,931.4510,4892771328,35567723008.0000,3,0.003054,1,-1.741600,0
2016-03-10,912.3760,917.2220,898.4660,898.4660,915.2290,3141672496,24762732544.0000,3,0.001961,1,-1.831600,0
2016-03-11,892.0140,902.1650,888.9020,899.0980,898.4660,3174501296,25158172928.0000,3,0.001982,1,0.070300,0
2016-03-14,906.1020,926.0810,904.5230,914.5700,899.0980,4767409152,38192876800.0000,3,0.002976,1,1.720800,0
2016-03-15,913.4300,916.5140,902.6080,916.0260,914.5700,4413134592,34901146624.0000,3,0.002755,1,0.159200,0
2016-03-16,914.1730,921.9630,913.5880,917.6620,916.0260,6466787840,51564362752.0000,3,0.004037,1,0.178600,0
2016-03-17,920.0030,933.8250,914.5250,927.7850,917.6620,4949941504,40606445568.0000,3,0.003090,1,1.103100,0
2016-03-18,931.2210,948.3180,929.3740,940.4110,927.7850,8038640384,64383198464.0000,3,0.005018,1,1.360900,0
2016-03-21,946.7260,964.8790,944.9130,959.7290,940.4110,9124789760,71995752448.0000,3,0.005696,1,2.054200,0
2016-03-22,954.5550,958.8490,949.8800,952.2810,959.7290,5880457984,49022431488.0000,3,0.003671,1,-0.776100,0
2016-03-23,950.2970,956.0040,945.5890,953.5470,952.2810,4256797296,35703228160.0000,3,0.002657,1,0.132900,0
2016-03-24,946.7040,947.8730,936.3880,936.4090,953.5470,4472786432,38137636352.0000,3,0.002792,1,-1.797300,0
2016-03-25,935.5090,943.7530,935.0300,941.3540,936.4090,3359171504,27132932352.0000,3,0.002097,1,0.528100,0
2016-03-28,943.9760,951.4680,933.3730,935.7870,941.3540,3902736304,33953418752.0000,3,0.002436,1,-0.591400,0
2016-03-29,935.7610,936.8600,920.1080,924.3350,935.7870,3589022496,29058325248.0000,3,0.002240,1,-1.223800,0
2016-03-30,931.3160,948.3130,931.3160,948.3120,924.3350,4475032832,36976272896.0000,3,0.002793,1,2.594000,0
2016-03-31,952.0770,955.4840,946.4830,950.4580,948.3120,4668578816,38588333312.0000,3,0.002914,1,0.226300,0
2016-04-01,948.2500,954.5360,937.1200,954.5360,950.4580,5041552640,39733398272.0000,3,0.003147,1,0.429100,0
2016-04-05,952.2170,970.2020,950.8050,968.5220,954.5360,6406914816,50875133696.0000,3,0.003999,1,1.465200,0
2016-04-06,964.3260,969.1050,959.2900,965.8800,968.5220,4495467264,37882832640.0000,3,0.002806,1,-0.272800,0
2016-04-07,968.2730,969.6180,950.8010,951.3410,965.8800,4433231360,37638541312.0000,3,0.002767,1,-1.505300,0
2016-04-08,945.3580,947.6150,936.6770,943.7590,951.3410,3922380608,31895498496.0000,3,0.002448,1,-0.797000,0
2016-04-11,950.9870,964.4280,950.9870,959.7690,943.7590,4866461952,42712849408.0000,3,0.003038,1,1.696400,0
2016-04-12,959.0660,960.1740,950.7980,957.2570,959.7690,3873212304,30145811200.0000,3,0.002418,1,-0.261700,0
2016-04-13,964.5970,983.7470,964.5970,971.6570,957.2570,8100859136,64751813120.0000,3,0.005057,1,1.504300,0
2016-04-14,975.9000,978.5540,967.2120,975.7170,971.6570,4408046336,34953518592.0000,3,0.002751,1,0.417800,0
2016-04-15,975.9380,977.4800,968.8510,971.9960,975.7170,4136506800,34173731072.0000,3,0.002582,1,-0.381400,0
2016-04-18,966.9630,966.9630,953.9500,958.3460,971.9960,3835693008,31714916352.0000,3,0.002393,1,-1.404300,0
2016-04-19,962.5180,965.2190,955.2320,960.1960,958.3460,3092991104,26206827520.0000,3,0.001930,1,0.193000,0
2016-04-20,963.5400,965.7050,920.3120,941.6560,960.1960,6853483776,55418316544.0000,3,0.004276,1,-1.930900,0
2016-04-21,937.6380,949.8150,933.7970,938.5140,941.6560,4336617984,36629036288.0000,3,0.002706,1,-0.333700,0
2016-04-22,932.0610,940.2160,930.2100,940.0460,938.5140,3148255504,26387241472.0000,3,0.001964,1,0.163200,0
2016-04-25,937.2510,939.6840,928.7440,937.6290,940.0460,2960977296,25685542656.0000,3,0.001847,1,-0.257100,0
2016-04-26,937.0080,942.1230,932.1130,941.3270,937.6290,2461477104,21304942336.0000,3,0.001533,1,0.394400,0
2016-04-27,941.2500,943.2890,934.0310,935.7710,941.3270,2300732208,20150765824.0000,3,0.001432,1,-0.590200,0
2016-04-28,935.8200,937.6090,925.3720,933.4420,935.7710,2798096496,24076914688.0000,3,0.001741,1,-0.248900,0
2016-04-29,931.4070,938.2270,929.8360,934.1280,933.4420,2448893200,24670089728.0000,3,0.001524,1,0.073500,0
2016-05-03,934.6770,952.9810,932.2790,952.2530,934.1280,3865610608,37497014784.0000,3,0.002406,1,1.940300,0
2016-05-04,948.8810,955.7670,946.6450,951.6360,952.2530,3673301696,31133669376.0000,3,0.002286,1,-0.064800,0
2016-05-05,950.1610,953.8540,946.8830,951.9430,951.6360,3024956608,26668597248.0000,3,0.001883,1,0.032300,0
2016-05-06,951.6430,952.6920,925.6320,925.6320,951.9430,4304164608,36306839040.0000,3,0.002677,1,-2.763900,0
2016-05-09,921.0740,921.0740,899.2560,902.6650,925.6320,4082726400,32334825472.0000,3,0.002539,1,-2.481200,0
2016-05-10,900.3740,910.3430,900.3740,905.1100,902.6650,3092680608,26210411520.0000,3,0.001923,1,0.270900,0
2016-05-11,908.4390,918.0890,903.2890,911.6980,905.1100,3468912304,31917306880.0000,3,0.002157,1,0.727900,0
2016-05-12,903.7430,915.1230,895.6830,913.2170,911.6980,2994275600,25864401920.0000,3,0.001862,1,0.166600,0
2016-05-13,910.9520,917.8160,904.3730,908.0330,913.2170,2471214800,21415483136.0000,3,0.001537,1,-0.567700,0
2016-05-16,905.0010,913.6570,899.8000,913.6080,908.0330,2240836496,19913890048.0000,3,0.001388,1,0.614000,0
2016-05-17,913.0690,915.9020,907.9980,910.1580,913.6080,2283490800,19768573440.0000,3,0.001415,1,-0.377600,0
2016-05-18,905.8060,905.8810,891.6990,902.0220,910.1580,3363328496,26960527872.0000,3,0.002082,1,-0.893900,0
2016-05-19,900.2330,907.4660,898.7180,899.8170,902.0220,2226043200,17848213504.0000,3,0.001378,1,-0.244400,0
2016-05-20,895.5320,903.3140,893.6430,903.1530,899.8170,2069566800,17244678912.0000,3,0.001281,1,0.370700,0
2016-05-23,902.6620,908.2470,902.3730,906.7290,903.1530,2239497408,18314094592.0000,3,0.001386,1,0.395900,0
2016-05-24,906.0580,906.0580,896.0150,899.6440,906.7290,2021905008,15774469888.0000,3,0.001251,1,-0.781400,0
2016-05-25,904.0380,905.4800,894.6930,896.3490,899.6440,1855083600,15350768896.0000,3,0.001147,1,-0.366300,0
2016-05-26,897.2630,900.9950,887.3460,898.2750,896.3490,2274868096,17504942336.0000,3,0.001406,1,0.214900,0
2016-05-27,897.9750,901.7940,895.1160,898.8980,898.2750,2728859696,17463381504.0000,3,0.001687,1,0.069400,0
2016-05-30,896.7720,901.9840,891.2450,899.5110,898.8980,2802786496,21326887936.0000,3,0.001733,1,0.068200,0
2016-05-31,899.7540,927.9360,899.7540,927.8070,899.5110,5508033280,44536322560.0000,3,0.003405,1,3.145700,0
2016-06-01,928.3210,933.0420,926.5600,928.0500,927.8070,4103437296,35051248640.0000,3,0.002537,1,0.026200,0
2016-06-02,927.5530,931.7280,926.4430,931.1580,928.0500,3215961296,25576262144.0000,3,0.001988,1,0.334900,0
2016-06-03,932.6390,938.8230,928.8270,936.3850,931.1580,3493720800,31272384512.0000,3,0.002155,1,0.561300,0
2016-06-06,937.2900,939.2020,930.9750,934.4870,936.3850,2737875296,24282511872.0000,3,0.001688,1,-0.202700,0
2016-06-07,934.5290,935.0480,929.8290,933.1270,934.4870,2370024208,20070410496.0000,3,0.001459,1,-0.145500,0
2016-06-08,931.6330,931.6330,922.7360,927.1440,933.1270,2620758208,22459667456.0000,3,0.001614,1,-0.641200,0
2016-06-13,918.8090,921.3460,899.0200,899.1320,927.1440,3277824496,27043985152.0000,3,0.002018,1,-3.021300,0
2016-06-14,897.6440,903.1820,896.0400,901.5650,899.1320,2336959696,19015452416.0000,3,0.001439,1,0.270600,0
2016-06-15,892.7510,917.5660,892.1070,915.5510,901.5650,3061703696,25643475200.0000,3,0.001885,1,1.551300,0
2016-06-16,912.8930,914.7290,907.2310,908.8830,915.5510,2914188000,24371914752.0000,3,0.001792,1,-0.728300,0
2016-06-17,910.4560,920.7530,910.4490,915.7750,908.8830,3025255408,25537703424.0000,3,0.001860,1,0.758300,0
2016-06-20,916.5690,917.9660,910.3250,916.0140,915.7750,2386581296,19734667520.0000,3,0.001466,1,0.026100,0
2016-06-21,918.9900,924.6410,908.9140,911.7410,916.0140,2941598208,24302262784.0000,3,0.001807,1,-0.466500,0
2016-06-22,910.8430,921.4150,909.9310,921.3800,911.7400,2451577904,19916402944.0000,3,0.001506,1,1.057300,0
2016-06-23,919.3930,920.2460,911.9520,915.7500,921.3800,2628860208,20971543552.0000,3,0.001613,1,-0.611000,0
2016-06-24,912.7070,917.9140,889.6550,903.0710,915.7500,3706295408,29949365248.0000,3,0.002274,1,-1.384500,0
2016-06-27,899.0080,917.0800,898.9170,917.0800,903.0710,2736524096,25020138496.0000,3,0.001679,1,1.551300,0
2016-06-28,912.1200,918.5050,908.3400,918.4070,917.0800,2922750800,25153756672.0000,3,0.001791,1,0.144700,0
2016-06-29,919.7340,924.9510,918.2030,922.5310,918.4070,4079783296,32690670592.0000,3,0.002500,1,0.449000,0
2016-06-30,922.3660,924.1480,918.7950,920.6580,922.5310,2888656304,24399608576.0000,3,0.001770,1,-0.203000,0
2016-07-01,920.8880,926.2070,919.8320,922.0640,920.6580,2414585696,21554558208.0000,3,0.001480,1,0.152700,0
2016-07-04,918.4590,942.3680,917.7350,940.7590,922.0640,4814317056,39447819008.0000,3,0.002950,1,2.027500,0
2016-07-05,941.1850,949.4770,941.1850,945.6640,940.7590,5246901504,44757918976.0000,3,0.003215,1,0.521400,0
2016-07-06,942.8450,949.4040,938.1480,949.1420,945.6640,4991670016,55458573312.0000,3,0.003059,1,0.367800,0
2016-07-07,946.2170,951.5550,943.9140,949.0110,949.1420,4839200256,45143197440.0000,3,0.002966,1,-0.013800,0
2016-07-08,944.8740,945.1010,937.0070,939.1590,949.0110,3456993696,33546516224.0000,3,0.002119,1,-1.038100,0
2016-07-11,941.0420,952.5840,940.5700,943.7490,939.1590,5125572352,48873412608.0000,3,0.003158,1,0.488700,0
2016-07-12,943.4150,966.9780,943.4010,966.9410,943.7490,6730339072,62807775232.0000,3,0.004146,1,2.457400,0
2016-07-13,968.4890,976.2330,968.4890,972.6550,966.9410,6741275136,62501227264.0000,3,0.004153,1,0.590900,0
2016-07-14,971.2990,972.0530,964.6290,970.3000,972.6550,4027567808,40324791552.0000,3,0.002479,1,-0.242100,0
2016-07-15,971.6650,975.8890,969.6150,972.9980,970.3000,3904658496,38385298688.0000,3,0.002403,1,0.278100,0
2016-07-18,971.5240,974.1990,964.2790,968.6680,972.9980,4501247488,43259479296.0000,3,0.002769,1,-0.445000,0
2016-07-19,967.1700,968.1260,956.2240,962.7370,968.6680,3419041696,35129076992.0000,3,0.002103,1,-0.612300,0
2016-07-20,962.5390,965.1470,958.4780,959.8100,962.7370,2656257904,27044701952.0000,3,0.001634,1,-0.304000,0
2016-07-21,960.8580,971.7690,960.8300,965.8620,959.8100,3245852896,33478222592.0000,3,0.001996,1,0.630500,0
2016-07-22,965.6720,966.2210,955.6190,956.7750,965.8620,3165135408,31710571776.0000,3,0.001947,1,-0.940800,0
2016-07-25,955.1730,961.0290,953.0910,956.2450,956.7750,2650021104,27717768704.0000,3,0.001630,1,-0.055400,0
2016-07-26,955.6780,968.6520,955.1600,968.6520,956.2450,3052416304,31162013952.0000,3,0.001877,1,1.297500,0
2016-07-27,968.5770,973.1880,936.6130,953.3070,968.6520,5955501056,53898858240.0000,3,0.003663,1,-1.584200,0
2016-07-28,948.8800,962.0950,946.7870,959.1360,953.3070,4346136576,43668191744.0000,3,0.002673,1,0.611400,0
2016-07-29,958.2960,963.6440,955.1650,956.8340,959.1360,3722087008,38728260608.0000,3,0.002289,1,-0.240000,0
2016-08-01,953.9930,954.9270,942.6800,948.9230,956.8340,3513900304,34037717248.0000,3,0.002161,1,-0.826800,0
2016-08-02,948.4450,953.0870,944.7310,953.0370,948.9230,2385732000,24758455552.0000,3,0.001467,1,0.433500,0
2016-08-03,950.1930,956.2040,948.2850,954.9470,953.0370,2752505696,26934992128.0000,3,0.001693,1,0.200400,0
2016-08-04,954.1560,956.1920,947.2150,956.1060,954.9470,2908219504,31251413760.0000,3,0.001789,1,0.121400,0
2016-08-05,955.2570,960.0040,952.5250,954.7990,956.1060,3068778304,35114872576.0000,3,0.001888,1,-0.136700,0
2016-08-08,953.6180,966.2160,950.3810,966.1420,954.7990,3452964704,36051034880.0000,3,0.002124,1,1.188000,0
2016-08-09,964.9900,972.6240,964.0230,972.2300,966.1420,3814666496,37971941632.0000,3,0.002346,1,0.630100,0
2016-08-10,971.4100,974.3530,967.3950,967.6500,972.2300,3228492896,32362448384.0000,3,0.001986,1,-0.471100,0
2016-08-11,966.3290,975.1230,962.9340,963.1610,967.6500,4159464704,39942556416.0000,3,0.002558,1,-0.463900,0
2016-08-12,962.6550,980.1990,962.2990,980.1990,963.1610,5128074752,49850017792.0000,3,0.003154,1,1.769000,0
2016-08-15,983.5000,1010.5520,983.1020,1006.1930,980.1990,8526508800,84264329216.0000,3,0.005244,1,2.651900,0
2016-08-16,1009.4320,1015.9160,1002.9050,1003.3710,1006.1930,8700012032,87438864384.0000,3,0.005351,1,-0.280500,0
2016-08-17,1003.1970,1006.6210,996.7400,1001.9560,1003.3710,5119554048,54819587840.0000,3,0.003149,1,-0.141000,0
