date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,121.3630,121.4970,120.3330,120.6460,121.3020,922139,449214848.0000,3,0.000000,1,-0.540800,0
2015-12-31,120.7570,121.0440,119.4810,120.0880,120.6460,920411,459446032.0000,3,0.000000,1,-0.462500,0
2016-01-04,120.2100,120.4000,116.8650,117.0370,120.0880,343904,126367502.0000,3,0.000000,1,-2.540600,0
2016-01-05,116.5340,117.5630,115.5390,115.7530,117.0370,930508,367997280.0000,3,0.000000,1,-1.097100,0
2016-01-06,116.0470,116.3040,115.7180,116.0380,115.7530,567189,274130912.0000,3,0.000000,1,0.246200,0
2016-01-07,115.7510,115.7520,112.8300,113.6690,116.0380,75037,26299205.0000,3,0.000000,1,-2.041600,0
2016-01-08,115.0030,115.2890,112.1030,113.1100,113.6690,1491279,747875056.0000,3,0.000000,1,-0.491800,0
2016-01-11,113.1560,113.1560,111.3050,111.4360,113.1100,766903,556119392.0000,3,0.000000,1,-1.480000,0
2016-01-12,111.5780,114.4060,111.5780,113.2790,111.4360,758897,599212784.0000,3,0.000000,1,1.653900,0
2016-01-13,113.6560,114.0840,112.8750,113.0530,113.2790,720237,371977712.0000,3,0.000000,1,-0.199500,0
2016-01-14,112.8470,115.3720,112.1000,115.1820,113.0530,1173784,569180688.0000,3,0.000000,1,1.883200,0
2016-01-15,115.5810,115.7880,114.2570,114.4100,115.1820,439390,280609872.0000,3,0.000000,1,-0.670200,0
2016-01-18,114.3770,114.5980,112.6810,112.9460,114.4100,1790047,449848048.0000,3,0.000000,1,-1.279600,0
2016-01-19,113.2480,113.2490,108.3190,109.5850,112.9460,1879387,777170752.0000,3,0.000000,1,-2.975800,0
2016-01-20,109.4600,109.4600,105.5660,105.5740,109.5850,965933,615069520.0000,3,0.000000,1,-3.660200,0
2016-01-21,104.8880,106.7730,104.1470,104.6690,105.5740,900317,301605264.0000,3,0.000000,1,-0.857200,0
2016-01-22,105.4540,106.1670,104.4390,105.5090,104.6690,1009461,319632720.0000,3,0.000000,1,0.802500,0
2016-01-25,106.3320,108.6630,106.1410,107.7710,105.5090,921510,345458256.0000,3,0.000000,1,2.143900,0
2016-01-26,107.4780,108.0930,104.9230,105.1180,107.7710,786299,370741552.0000,3,0.000000,1,-2.461700,0
2016-01-27,105.3580,105.7400,104.1670,105.7250,105.1180,1016943,442562656.0000,3,0.000000,1,0.577400,0
2016-01-28,105.7140,107.5980,105.5740,106.3750,105.7250,749948,444051728.0000,3,0.000000,1,0.614800,0
2016-01-29,106.7040,107.6980,106.3630,107.4970,106.3750,802200,397914512.0000,3,0.000000,1,1.054800,0
2016-02-01,107.5500,108.0820,107.5500,107.7280,107.4970,1193174,563683328.0000,3,0.000000,1,0.214900,0
2016-02-02,107.8910,109.0620,107.7820,108.7850,107.7280,2365287,821298368.0000,3,0.000000,1,0.981200,0
2016-02-03,108.6200,109.0140,108.2760,108.9340,108.7850,995831,548064848.0000,3,0.000000,1,0.137000,0
2016-02-04,108.9550,109.7260,108.9560,109.6120,108.9350,794728,461067072.0000,3,0.000000,1,0.621500,0
2016-02-05,109.7250,110.0580,109.2490,109.3810,109.6120,543204,326751840.0000,3,0.000000,1,-0.210700,0
2016-02-15,109.0980,110.3210,108.1680,110.1340,109.3820,1003950,622484768.0000,3,0.000000,1,0.687500,0
2016-02-16,110.2820,111.9510,110.2830,111.9310,110.1350,2330242,1059420192.0000,3,0.000000,1,1.630700,0
2016-02-17,111.9500,113.3930,111.7270,113.0370,111.9310,2502573,1210928720.0000,3,0.000000,1,0.988100,0
2016-02-18,113.4630,114.7700,113.4570,114.1500,113.0370,2565995,1617094992.0000,3,0.000000,1,0.984600,0
