date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,197.0170,197.1120,196.9950,197.1110,196.9910,29428820,3015751504.0000,3,0.000000,1,0.060900,0
2015-12-31,197.1420,197.1790,197.1150,197.1150,197.1110,25894300,2632518112.0000,3,0.000000,1,0.002000,0
2016-01-04,197.2380,197.2960,197.2340,197.2930,197.1150,14274440,1436985728.0000,3,0.000000,1,0.090300,0
2016-01-05,197.3230,197.3310,197.3040,197.3310,197.2930,12448410,1289798960.0000,3,0.000000,1,0.019300,0
2016-01-06,197.3720,197.3910,197.3670,197.3910,197.3310,24958110,2494139248.0000,3,0.000000,1,0.030400,0
2016-01-07,197.4200,197.4280,197.3880,197.4250,197.3910,29279470,2985365088.0000,3,0.000000,1,0.017200,0
2016-01-08,197.4570,197.5610,197.4530,197.5580,197.4250,24528900,2518965760.0000,3,0.000000,1,0.067400,0
2016-01-11,197.6500,197.6870,197.6390,197.6820,197.5580,33271890,3369591488.0000,3,0.000000,1,0.062800,0
2016-01-12,197.7130,197.8000,197.6920,197.7990,197.6820,25693460,2606251392.0000,3,0.000000,1,0.059200,0
2016-01-13,197.8290,197.9560,197.8290,197.9470,197.7990,30219250,3062434752.0000,3,0.000000,1,0.074800,0
2016-01-14,197.9760,198.0200,197.9550,198.0120,197.9470,21517400,2196288672.0000,3,0.000000,1,0.032800,0
2016-01-15,198.0430,198.1180,198.0360,198.1170,198.0120,29226100,2959964288.0000,3,0.000000,1,0.053000,0
2016-01-18,198.2100,198.2180,198.1890,198.2090,198.1170,27752850,2841320704.0000,3,0.000000,1,0.046400,0
2016-01-19,198.2370,198.2390,198.2040,198.2270,198.2090,25273650,2590281936.0000,3,0.000000,1,0.009100,0
2016-01-20,198.2580,198.2580,198.2240,198.2400,198.2270,31461570,3221958080.0000,3,0.000000,1,0.006600,0
2016-01-21,198.2710,198.3070,198.2340,198.3040,198.2400,28894160,2958649760.0000,3,0.000000,1,0.032300,0
2016-01-22,198.3360,198.3870,198.3240,198.3850,198.3040,25554390,2599318224.0000,3,0.000000,1,0.040800,0
2016-01-25,198.4770,198.5080,198.4580,198.5060,198.3850,19037880,1927714656.0000,3,0.000000,1,0.061000,0
2016-01-26,198.5360,198.5390,198.5120,198.5200,198.5060,19464830,1963252272.0000,3,0.000000,1,0.007100,0
2016-01-27,198.5500,198.5500,198.5240,198.5410,198.5200,17701800,1781927296.0000,3,0.000000,1,0.010600,0
2016-01-28,198.5770,198.5790,198.5440,198.5660,198.5410,21507360,2171927488.0000,3,0.000000,1,0.012600,0
2016-01-29,198.5960,198.6420,198.5690,198.6360,198.5660,26160380,2620094032.0000,3,0.000000,1,0.035300,0
2016-02-01,198.7440,198.7460,198.7030,198.7450,198.6360,21076090,2123793968.0000,3,0.000000,1,0.054900,0
2016-02-02,198.7750,198.7780,198.7400,198.7650,198.7450,31958250,3243404768.0000,3,0.000000,1,0.010100,0
2016-02-03,198.7960,198.8000,198.7720,198.7950,198.7650,30872000,3126305584.0000,3,0.000000,1,0.015100,0
2016-02-04,198.8260,198.8490,198.8130,198.8400,198.7950,26981450,2702993184.0000,3,0.000000,1,0.022600,0
2016-02-05,198.8700,198.8880,198.8620,198.8660,198.8400,14152560,1424982656.0000,3,0.000000,1,0.013100,0
2016-02-15,199.1680,199.1680,199.1520,199.1620,198.8660,13499630,1356049552.0000,3,0.000000,1,0.148800,0
2016-02-16,199.1940,199.2330,199.1920,199.2220,199.1620,20419570,2049867232.0000,3,0.000000,1,0.030100,0
2016-02-17,199.2520,199.2700,199.2380,199.2680,199.2220,26955000,2712657408.0000,3,0.000000,1,0.023100,0
2016-02-18,199.2980,199.3120,199.2930,199.3060,199.2680,28848900,2900193360.0000,3,0.000000,1,0.019100,0
2016-02-19,199.3420,199.3510,199.3270,199.3430,199.3060,23977840,2420562784.0000,3,0.000000,1,0.018600,0
2016-02-22,199.4350,199.4480,199.4170,199.4470,199.3430,30711510,3081043648.0000,3,0.000000,1,0.052200,0
2016-02-23,199.4770,199.5190,199.4760,199.5170,199.4470,26665300,2719566688.0000,3,0.000000,1,0.035100,0
