date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,4857.0780,4921.6930,4850.6250,4921.3750,4847.6680,1977511872,54827674368.0000,3,0.022897,1,1.520500,0
2015-12-31,4921.7220,4928.6500,4800.4810,4801.2520,4921.3750,1924036448,53196600064.0000,3,0.022178,1,-2.440800,0
2016-01-04,4794.6250,4794.9130,4406.9860,4406.9850,4801.2520,2071158496,48060377088.0000,3,0.022598,1,-8.211800,0
2016-01-05,4160.4940,4380.5860,4145.3730,4281.6110,4406.9850,3039111392,65509667840.0000,3,0.033158,1,-2.844900,0
2016-01-06,4310.1240,4377.1770,4245.0430,4373.5420,4281.6110,2506279744,55673392896.0000,3,0.027343,1,2.147100,0
2016-01-07,4286.4410,4286.4410,4020.7850,4024.8600,4373.5420,687045744,13373258752.0000,3,0.007495,1,-7.972500,0
2016-01-08,4095.0740,4127.9100,3833.7820,4010.5850,4024.8600,2742696384,55281199360.0000,3,0.029922,1,-0.354700,0
2016-01-11,3915.5110,3965.8850,3758.5030,3758.5680,4010.5850,2462867568,47698748672.0000,3,0.026672,1,-6.283800,0
2016-01-12,3766.0280,3856.7950,3707.9130,3800.4170,3758.5680,2166648352,45147497984.0000,3,0.023464,1,1.113400,0
2016-01-13,3822.7490,3854.3020,3665.5840,3665.5880,3800.4170,2052362640,40829335552.0000,3,0.022226,1,-3.547700,0
2016-01-14,3543.6500,3844.5410,3542.8520,3838.3480,3665.5880,2414453616,48803819776.0000,3,0.026143,1,4.713000,0
2016-01-15,3813.3050,3853.5640,3692.6820,3719.3750,3838.3480,2525395008,48935046144.0000,3,0.027345,1,-3.099600,0
2016-01-18,3652.1440,3876.6540,3652.1440,3826.0430,3719.3750,2286872224,47111455744.0000,3,0.024753,1,2.867900,0
2016-01-19,3815.7260,3949.6660,3780.9920,3942.2210,3826.0430,2594251312,55700633088.0000,3,0.028069,1,3.036500,0
2016-01-20,3902.6950,3950.4970,3844.8980,3868.8900,3942.2210,2186675456,47364433920.0000,3,0.023659,1,-1.860100,0
2016-01-21,3809.8920,3924.3610,3717.1560,3717.1550,3868.8900,2091226528,44241108992.0000,3,0.022623,1,-3.921900,0
2016-01-22,3771.5520,3800.4170,3659.1520,3780.5730,3717.1550,1880240000,37558101504.0000,3,0.020337,1,1.706100,0
2016-01-25,3815.3830,3852.5220,3772.2200,3807.8320,3780.5730,1618351584,33196890624.0000,3,0.017504,1,0.721000,0
2016-01-26,3763.4260,3768.1530,3517.9140,3527.5420,3807.8320,2137013104,38261867776.0000,3,0.023114,1,-7.360900,0
2016-01-27,3539.0760,3551.6140,3344.4040,3522.4690,3527.5420,2390551296,41185163264.0000,3,0.025856,1,-0.143800,0
2016-01-28,3472.1080,3509.0220,3360.6780,3375.9300,3522.4690,1723822288,30171428352.0000,3,0.018636,1,-4.160100,0
2016-01-29,3377.3250,3551.6280,3373.0190,3522.0610,3375.9300,1918393856,34420710400.0000,3,0.020732,1,4.328600,0
2016-02-01,3512.7780,3540.5240,3446.9740,3502.7550,3522.0610,1565484576,29538020352.0000,3,0.016761,1,-0.548100,0
2016-02-02,3510.3350,3658.6150,3510.3360,3638.7390,3502.7550,1861097312,36722216192.0000,3,0.019926,1,3.882200,0
2016-02-03,3596.4380,3677.1080,3577.8110,3655.7520,3638.7390,1751765792,34065650944.0000,3,0.018755,1,0.467600,0
2016-02-04,3664.5840,3736.3620,3664.5850,3713.6240,3655.7520,1993421120,38694451200.0000,3,0.021343,1,1.583000,0
2016-02-05,3715.8230,3730.9260,3658.6740,3659.9080,3713.6240,1490664688,28135887872.0000,3,0.015959,1,-1.446500,0
2016-02-15,3551.0560,3700.5950,3551.0560,3680.5770,3659.9080,1613434656,29660606464.0000,3,0.017273,1,0.564700,0
2016-02-16,3703.7260,3863.1100,3703.7270,3852.7800,3680.5770,2570696608,48688552960.0000,3,0.027521,1,4.678700,0
2016-02-17,3856.4010,3913.7830,3821.0510,3904.8800,3852.7810,3531572864,53256004352.0000,3,0.037795,1,1.352200,0
2016-02-18,3931.4940,3945.4310,3866.3620,3873.1610,3904.8810,2821736832,48904518400.0000,3,0.030198,1,-0.812300,0
2016-02-19,3859.5370,3946.9120,3857.1800,3911.4930,3873.1620,2407137424,47264571904.0000,3,0.025761,1,0.989700,0
2016-02-22,3959.6400,3977.5460,3927.9220,3977.5460,3911.4940,2688867424,53091350528.0000,3,0.028776,1,1.688700,0
2016-02-23,3978.9970,3987.1860,3893.4170,3942.7850,3977.5460,2431976080,49288216832.0000,3,0.026027,1,-0.873900,0
2016-02-24,3926.8040,3957.0220,3824.9960,3909.4200,3942.7850,2301679808,46599862016.0000,3,0.024632,1,-0.846200,0
2016-02-25,3896.9010,3896.9010,3605.1830,3617.0590,3909.4200,2857410880,51020390400.0000,3,0.030576,1,-7.478400,0
2016-02-26,3640.1840,3660.3680,3531.8890,3598.2340,3617.0590,2163294784,38907410688.0000,3,0.023149,1,-0.520500,0
2016-02-29,3566.8570,3566.8580,3347.0090,3374.1930,3598.2350,2175482512,36043731968.0000,3,0.023276,1,-6.226400,0
2016-03-01,3368.2420,3483.5240,3295.9550,3453.2900,3374.1940,2168255536,37798883840.0000,3,0.023199,1,2.344100,0
2016-03-02,3446.1060,3604.9860,3436.3120,3596.0280,3453.2910,2875346176,47003132672.0000,3,0.030765,1,4.133400,0
2016-03-03,3584.8990,3675.5300,3575.8370,3586.6030,3596.0280,2748931200,48726608640.0000,3,0.029412,1,-0.262100,0
2016-03-04,3560.8040,3579.9540,3423.1960,3450.1960,3586.6040,2723382064,43006475776.0000,3,0.029136,1,-3.803300,0
2016-03-07,3485.5340,3579.2300,3485.5350,3519.8110,3450.1960,1911297120,32373366784.0000,3,0.020442,1,2.017700,0
2016-03-08,3504.7320,3554.6990,3368.8130,3554.6990,3519.8110,2232112656,37594797568.0000,3,0.023874,1,0.991200,0
2016-03-09,3483.7900,3565.0840,3466.2240,3493.6770,3554.6990,1758914640,30072623616.0000,3,0.018812,1,-1.716700,0
2016-03-10,3485.2980,3516.7400,3427.5270,3431.4240,3493.6770,1544972528,27530482944.0000,3,0.016523,1,-1.781900,0
2016-03-11,3370.4350,3424.8360,3356.1190,3403.2180,3431.4250,1280837344,21798475008.0000,3,0.013666,1,-0.822000,0
2016-03-14,3437.7280,3573.7100,3437.7280,3532.6030,3403.2190,2436360304,44766944000.0000,3,0.025986,1,3.801800,0
2016-03-15,3515.7350,3542.0890,3478.1640,3484.5560,3532.6030,2031495504,39286198016.0000,3,0.021554,1,-1.360100,0
2016-03-16,3517.0760,3531.2820,3418.4510,3444.1690,3484.5560,1859163200,34258000640.0000,3,0.019726,1,-1.159000,0
2016-03-17,3457.2250,3611.7140,3456.6790,3602.0190,3444.1700,3004216464,59058648576.0000,3,0.031872,1,4.583100,0
2016-03-18,3626.4410,3776.5760,3623.7950,3754.1210,3602.0190,3908900320,78134763520.0000,3,0.041469,1,4.222700,0
2016-03-21,3812.9060,3857.7450,3795.8790,3857.7450,3754.1210,4109511024,83590053888.0000,3,0.043592,1,2.760300,0
2016-03-22,3813.9150,3877.1630,3794.8830,3835.1710,3857.7450,3022460768,62747074560.0000,3,0.032061,1,-0.585200,0
2016-03-23,3829.8250,3905.0940,3821.7710,3905.0940,3835.1720,2863390032,63816334080.0000,3,0.030360,1,1.823200,0
2016-03-24,3865.4640,3927.7190,3831.5250,3836.7780,3905.0940,3115204720,72120737792.0000,3,0.033030,1,-1.749400,0
2016-03-25,3821.1490,3861.6570,3790.3570,3845.9250,3836.7790,2655857232,50937446144.0000,3,0.028092,1,0.238400,0
2016-03-28,3874.5150,3905.3240,3789.5890,3802.9580,3845.9250,2698467008,54008632064.0000,3,0.028540,1,-1.117200,0
2016-03-29,3795.2890,3798.9790,3694.5710,3733.1300,3802.9580,2236703632,48426714112.0000,3,0.023656,1,-1.836200,0
2016-03-30,3769.2030,3887.0930,3769.2030,3887.0920,3733.1300,2606577552,60603292672.0000,3,0.027558,1,4.124200,0
2016-03-31,3904.3270,3925.9370,3866.4320,3880.9550,3887.0930,2713415280,63473451776.0000,3,0.028603,1,-0.157900,0
2016-04-01,3860.9120,3869.4640,3784.8120,3835.8750,3880.9560,2284316640,51247501312.0000,3,0.024012,1,-1.161600,0
2016-04-05,3844.6730,3963.1820,3832.4530,3952.8380,3835.8750,2998148496,62905790976.0000,3,0.031423,1,3.049200,0
2016-04-06,3936.7150,3980.0960,3928.8220,3974.1080,3952.8380,2909947280,62688250880.0000,3,0.030486,1,0.538100,0
2016-04-07,3986.9220,3995.8650,3888.7800,3888.7790,3974.1090,2803273056,60665289472.0000,3,0.029368,1,-2.147100,0
2016-04-08,3852.6260,3868.8800,3798.8770,3852.8970,3888.7800,2410325280,50332758016.0000,3,0.025205,1,-0.922700,0
2016-04-11,3893.3540,3962.9310,3893.3540,3928.4560,3852.8980,2571918032,54518381824.0000,3,0.026848,1,1.961100,0
2016-04-12,3926.4510,3935.3680,3849.9200,3895.8580,3928.4560,2069785024,46750524160.0000,3,0.021601,1,-0.829800,0
2016-04-13,3921.4980,4005.5760,3921.4980,3949.4000,3895.8590,3138189120,69291302912.0000,3,0.032750,1,1.374300,0
2016-04-14,3976.0960,3992.6400,3938.5250,3992.6400,3949.4000,2489088720,53618132480.0000,3,0.025975,1,1.094800,0
2016-04-15,3998.9670,4000.5180,3952.5590,3974.6180,3992.6400,2241853360,46928644864.0000,3,0.023395,1,-0.451400,0
2016-04-18,3936.4570,3936.4570,3868.4390,3893.9250,3974.6190,2016787136,42175362816.0000,3,0.020630,1,-2.030200,0
