date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,1796.4650,1800.4330,1778.4200,1800.4010,1794.1280,2623791808,32543769088.0000,3,0.005329,1,0.349600,0
2015-12-31,1798.0090,1800.4510,1783.1810,1783.8620,1800.4010,2579051344,31950499584.0000,3,0.005238,1,-0.918600,0
2016-01-04,1784.3260,1784.3260,1674.7440,1675.0500,1783.8620,2710019088,31667717632.0000,3,0.005504,1,-6.099800,0
2016-01-05,1644.6050,1704.0300,1642.9130,1687.0480,1675.0500,3932633408,43975459840.0000,3,0.007987,1,0.716300,0
2016-01-06,1690.0760,1723.2190,1685.8820,1723.0200,1687.0480,4186924784,41934167040.0000,3,0.008504,1,2.132200,0
2016-01-07,1702.9580,1702.9590,1614.8590,1617.9800,1723.0200,1553218496,14348809472.0000,3,0.003155,1,-6.096300,0
2016-01-08,1654.7560,1682.0090,1604.9060,1661.9170,1617.9800,5249336576,52766191872.0000,3,0.010661,1,2.715500,0
2016-01-11,1643.9770,1655.4490,1595.4270,1595.4260,1661.9170,5241816064,49405238272.0000,3,0.010644,1,-4.000900,0
2016-01-12,1599.1370,1608.2190,1577.6620,1596.0840,1595.4260,3622731280,34491494656.0000,3,0.007356,1,0.041200,0
2016-01-13,1605.3260,1619.3230,1571.5330,1571.9290,1596.0840,3544464288,33669928448.0000,3,0.007198,1,-1.513400,0
2016-01-14,1537.6750,1602.2530,1537.1280,1598.8370,1571.9290,3655600768,34557483264.0000,3,0.007423,1,1.711800,0
2016-01-15,1588.4340,1594.7080,1540.9210,1547.5400,1598.8370,3472428480,32410863616.0000,3,0.007051,1,-3.208400,0
2016-01-18,1527.6970,1563.5140,1527.5500,1548.1880,1547.5400,2499943248,24263016192.0000,3,0.005075,1,0.041900,0
2016-01-19,1550.5760,1596.6750,1545.7010,1594.9810,1548.1880,3183429456,32189863168.0000,3,0.006462,1,3.022400,0
2016-01-20,1583.3260,1589.6840,1556.3710,1569.3280,1594.9810,3101103728,30781002496.0000,3,0.006295,1,-1.608400,0
2016-01-21,1554.2760,1582.5070,1536.6150,1536.6140,1569.3280,2896520752,28116150784.0000,3,0.005880,1,-2.084600,0
2016-01-22,1551.8120,1558.9700,1526.1270,1550.4430,1536.6140,2515129136,23536914176.0000,3,0.005105,1,0.900000,0
2016-01-25,1558.8040,1570.5330,1552.4720,1565.2860,1550.4430,2625456864,24002776832.0000,3,0.005329,1,0.957300,0
2016-01-26,1551.4020,1558.8440,1485.9730,1489.4360,1565.2860,3093198000,29326530304.0000,3,0.006279,1,-4.845800,0
2016-01-27,1497.8450,1503.3690,1452.5470,1490.7790,1489.4360,3432528080,30791762176.0000,3,0.006968,1,0.090200,0
2016-01-28,1481.4960,1494.5100,1451.3610,1453.7590,1490.7790,2744283408,23942832640.0000,3,0.005571,1,-2.483300,0
2016-01-29,1453.7810,1498.8350,1452.7840,1490.3100,1453.7590,2661657456,23558270208.0000,3,0.005403,1,2.514200,0
